Portfolio,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,final_nav_raw,cagr_raw,vol_raw,sharpe_raw,max_dd_raw
Strategy (Pure Multi-Factor),90.81%,56.22%,22.60%,2.09,-15.01%,1908082.7370287357,0.5621667274927564,0.22596684954544638,2.094231893424791,-0.15009713067344385
Strategy (Options Wind-Control),68.50%,43.37%,22.00%,1.75,-15.91%,1685022.5046136363,0.43367615622668865,0.22003206489963711,1.752993367186341,-0.15909025738565719
Benchmark (Market Equal-Weight),87.09%,54.11%,22.12%,2.11,-15.01%,1870941.5268727173,0.541108989038037,0.22119016303776584,2.114208724219482,-0.1501256536300569
Benchmark (CSI 1000 Index),84.52%,52.65%,27.51%,1.68,-16.87%,1845228.532062219,0.5264547933302692,0.27508467932355385,1.680389566972202,-0.16870772600903247
