date,code,action,price,shares,info
2020-01-21,603069.SH,BUY,12.755460000000001,8000,SIGNAL
2020-01-21,600515.SH,BUY,5.2605,19400,SIGNAL
2020-01-21,002156.SZ,BUY,20.05002,5100,SIGNAL
2020-01-21,603688.SH,BUY,25.92174,3900,SIGNAL
2020-01-21,002683.SZ,BUY,24.048000000000002,4200,SIGNAL
2020-01-21,600579.SH,BUY,6.68334,15300,SIGNAL
2020-01-22,002971.SZ,BUY,27.51492,3600,SIGNAL
2020-01-22,603069.SH,SELL,13.284378,8000,TRAILING_STOP (4.1%)
2020-01-22,002156.SZ,SELL,20.155608,5100,TRAILING_STOP (0.4%)
2020-01-22,600579.SH,SELL,6.22752,15300,STOP_LOSS (-6.9%)
2020-01-23,603069.SH,BUY,14.328600000000002,7000,SIGNAL
2020-01-23,600579.SH,BUY,6.0220199999999995,16700,SIGNAL
2020-01-23,600641.SH,SELL,21.63664,4600,STOP_LOSS (-1.9%)
2020-01-23,600118.SH,SELL,27.242406,3700,TRAILING_STOP (0.7%)
2020-01-23,600515.SH,SELL,5.02992,19400,TRAILING_STOP (-4.5%)
2020-01-23,603688.SH,SELL,24.640620000000002,3900,STOP_LOSS (-5.0%)
2020-01-23,002971.SZ,SELL,25.2630989472,3600,STOP_LOSS (-8.3%)
2020-02-03,002971.SZ,BUY,26.06202,3600,SIGNAL
2020-02-03,600641.SH,BUY,18.216359999999998,5200,SIGNAL
2020-02-03,600118.SH,BUY,26.66322,3500,SIGNAL
2020-02-03,600515.SH,BUY,4.46892,21300,SIGNAL
2020-02-03,002156.SZ,BUY,22.25442,4200,SIGNAL
2020-02-03,603688.SH,BUY,20.92176,4500,SIGNAL
2020-02-03,002180.SZ,SELL,36.0454558176,2600,STOP_LOSS (-8.3%)
2020-02-03,002683.SZ,SELL,22.079911680000002,4200,STOP_LOSS (-8.3%)
2020-02-03,603069.SH,SELL,13.155947376000002,7000,STOP_LOSS (-8.3%)
2020-02-03,600579.SH,SELL,5.5291778832,16700,STOP_LOSS (-8.3%)
2020-02-04,600618.SH,BUY,8.517,11000,SIGNAL
2020-02-04,603733.SH,BUY,15.26046,6100,SIGNAL
2020-02-04,600388.SH,BUY,9.2685,10100,SIGNAL
2020-02-04,000782.SZ,BUY,3.7074000000000003,25400,SIGNAL
2020-02-04,603669.SH,BUY,8.797559999999999,3400,SIGNAL
2020-02-04,002971.SZ,SELL,26.604684000000002,3600,TRAILING_STOP (2.0%)
2020-02-04,600515.SH,SELL,4.1031835872,21300,STOP_LOSS (-8.3%)
2020-02-04,002156.SZ,SELL,21.943026000000003,4200,TRAILING_STOP (-1.5%)
2020-02-04,603688.SH,SELL,19.2095231616,4500,STOP_LOSS (-8.3%)
2020-02-05,603039.SH,BUY,83.3664,1100,SIGNAL
2020-02-05,600118.SH,SELL,33.26236695,3500,TAKE_PROFIT (24.7%)
2020-02-05,600618.SH,SELL,8.748468,11000,TRAILING_STOP (2.6%)
2020-02-06,603669.SH,SELL,8.882200000000001,3400,TRAILING_STOP (0.9%)
2020-02-07,603669.SH,BUY,9.34866,10800,SIGNAL
2020-02-07,600388.SH,SELL,9.8802,10100,TRAILING_STOP (6.5%)
2020-02-07,000782.SZ,SELL,3.9161520000000003,25400,TRAILING_STOP (5.5%)
2020-02-10,600641.SH,SELL,19.6606,5200,SIGNAL_LOST (7.8%)
2020-02-10,603726.SH,BUY,19.05804,5200,SIGNAL
2020-02-10,002326.SZ,BUY,19.038,5200,SIGNAL
2020-02-10,600388.SH,BUY,10.7715,9300,SIGNAL
2020-02-10,002219.SZ,BUY,3.1062000000000003,32400,SIGNAL
2020-02-10,603039.SH,SELL,87.824,1100,TRAILING_STOP (5.3%)
2020-02-10,603669.SH,SELL,8.6327,10800,STOP_LOSS (-7.7%)
2020-02-11,603733.SH,SELL,16.22748,6100,SIGNAL_LOST (6.3%)
2020-02-11,000687.SZ,BUY,5.04006,19000,SIGNAL
2020-02-11,000410.SZ,BUY,5.88174,16300,SIGNAL
2020-02-11,002259.SZ,BUY,1.8937799999999998,50600,SIGNAL
2020-02-11,600816.SH,BUY,3.0761399999999997,31100,SIGNAL
2020-02-11,603333.SH,BUY,7.30458,13100,SIGNAL
2020-02-11,600577.SH,BUY,2.67534,35800,SIGNAL
