threshold,max_pos,stop_loss,take_profit,cagr_opt,sharpe_opt,max_dd_opt,total_return_opt,n_trades_opt,win_rate_days_opt,monthly_win_rate_opt,n_months_opt,avg_trade_return_opt,trade_win_rate_opt,cagr_test,sharpe_test,max_dd_test,total_return_test,n_trades_test,win_rate_days_test,monthly_win_rate_test,n_months_test,avg_trade_return_test,trade_win_rate_test
0.5,1,0.0,0.0,-0.9713697600806894,-4.931416287111151,-0.9999642005424743,-0.9999641749938847,658,0.31955922865013775,0.25,36,-0.014449262442354262,0.3525835866261398,-0.9621025794806629,-4.888089633080808,-0.9808238463602609,-0.9753126087248919,256,0.32280701754385965,0.26666666666666666,15,-0.0134898885907427,0.359375
0.5,1,0.0,0.05,-0.620848733435295,-0.5731069839509172,-0.9603628865017204,-0.9388243065399839,658,0.3650137741046832,0.4722222222222222,36,-0.002365622221827126,0.4027355623100304,-0.33978218423288575,0.02914985635236002,-0.7526785325464098,-0.3747195444053234,256,0.3649122807017544,0.4666666666666667,15,0.00012554839151224934,0.40625
0.5,1,0.0,0.08,-0.8196008868889624,-1.3952773125256177,-0.9937470414312711,-0.9928014219410801,658,0.3305785123966942,0.3611111111111111,36,-0.005667096103950449,0.364741641337386,-0.6985073679332474,-0.802797691104885,-0.8309203283699095,-0.7423164186961919,256,0.3333333333333333,0.4666666666666667,15,-0.003400353381807124,0.37109375
0.5,1,0.0,0.1,-0.8959427495957464,-2.075831276110153,-0.9985989722854222,-0.9985249442825126,658,0.3209366391184573,0.3333333333333333,36,-0.008170686973017384,0.3541033434650456,-0.7198647075651392,-0.8809829748834046,-0.836493037522862,-0.7628629967590226,256,0.3333333333333333,0.4666666666666667,15,-0.0037282668413147623,0.37109375
0.5,1,0.0,0.15,-0.9332009385338579,-2.7140937743420186,-0.9995889359045004,-0.9995886425450886,658,0.3209366391184573,0.2777777777777778,36,-0.010232240809872097,0.3541033434650456,-0.8773137201779466,-1.9324512945442305,-0.927596766116746,-0.9067880348666534,256,0.3263157894736842,0.26666666666666666,15,-0.00760955463675537,0.36328125
0.5,1,-0.03,0.0,-0.9986001990274127,-8.539088601709011,-0.9999999937993589,-0.9999999940027399,658,0.24242424242424243,0.027777777777777776,36,-0.027209333675001533,0.2674772036474164,-0.9976369048959438,-8.731043818795321,-0.9989076749722157,-0.9989296339885892,256,0.256140350877193,0.0,15,-0.02541549434439625,0.28515625
0.5,1,-0.03,0.05,-0.9803203363472861,-3.3356403702220194,-0.9999907831793647,-0.9999878340465871,658,0.2878787878787879,0.16666666666666666,36,-0.014864790534459764,0.31762917933130697,-0.9590303306025957,-2.5605159594246194,-0.9758792245431066,-0.9730374406019389,256,0.29473684210526313,0.26666666666666666,15,-0.011772042358186342,0.328125
0.5,1,-0.03,0.08,-0.9908182151652597,-4.1893201134718385,-0.9999986848821686,-0.9999986470242545,658,0.256198347107438,0.1388888888888889,36,-0.018251436055995506,0.2826747720364742,-0.9822880929118964,-3.4752095509228864,-0.9907628223973494,-0.9895558885178394,256,0.26666666666666666,0.2,15,-0.015553672722583166,0.296875
0.5,1,-0.03,0.1,-0.9946776248867939,-4.923240076354233,-0.9999997092619456,-0.9999997187981537,658,0.2465564738292011,0.1388888888888889,36,-0.020732921371041994,0.27203647416413373,-0.983666694527374,-3.5682462615576527,-0.9914122521205204,-0.9904704612298139,256,0.26666666666666666,0.2,15,-0.015920648682090806,0.296875
0.5,1,-0.03,0.15,-0.9967243783875759,-5.708015023167291,-0.9999999281935822,-0.9999999305488327,658,0.24380165289256198,0.05555555555555555,36,-0.022979757529502317,0.2689969604863222,-0.9929200031308447,-4.8041206207708695,-0.9962215876583512,-0.9962975451035858,256,0.2596491228070175,0.06666666666666667,15,-0.019852000668186702,0.2890625
