Portfolio,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,final_nav_raw,cagr_raw,vol_raw,sharpe_raw,max_dd_raw
Strategy (Pure Multi-Factor),87.76%,54.49%,21.04%,2.18,-13.19%,1877553.6117962576,0.5448672069208147,0.21042483299507123,2.1795367990371313,-0.13189077969456006
Strategy (Options Wind-Control),64.04%,40.73%,20.27%,1.79,-13.19%,1640351.427010308,0.40732626098561897,0.2026715454671995,1.7929420350914274,-0.13189077969456006
Benchmark (Market Equal-Weight),87.09%,54.11%,22.12%,2.11,-15.01%,1870941.5268727173,0.541108989038037,0.22119016303776584,2.114208724219482,-0.1501256536300569
Benchmark (CSI 1000 Index),84.52%,52.65%,27.51%,1.68,-16.87%,1845228.532062219,0.5264547933302692,0.27508467932355385,1.680389566972202,-0.16870772600903247
