date,pcr_50,oi_pcr_50,vol_50,pcr_300,oi_pcr_300,vol_300
2022-01-04,0.841,0.6641617977052373,2087609.0,1.1029,0.9042119871090002,1407442.0
2022-01-05,0.8569,0.6535485480032366,2121145.0,1.171,0.8406250578928842,1594695.0
2022-01-06,0.9258,0.6122617172884998,2641216.0,1.2578,0.8053716547569006,2019747.0
2022-01-07,0.8464,0.6151552474150388,1701209.0,1.1033,0.8146319904990047,1400638.0
2022-01-10,0.9009,0.6188209509864794,1614325.0,1.0711,0.8246653131229825,1300443.0
2022-01-11,0.8573999999999999,0.6121280308011168,1911076.0,1.1621,0.8158521283367779,1524257.0
2022-01-12,0.8595,0.6344661293631977,1549405.0,1.0083,0.8652236380993655,1313038.0
2022-01-13,0.8643000000000001,0.5934522685893457,2557273.0,1.0973,0.8149331833575821,1705104.0
2022-01-14,0.9590000000000001,0.5653009353480664,3018298.0,1.1665,0.8035427786646671,1913115.0
2022-01-17,0.8863,0.5635958213825669,2038741.0,1.0968,0.8300802881565931,1506145.0
2022-01-18,0.7959999999999999,0.6148846075861369,2562472.0,1.0371,0.8926592876562731,1826893.0
2022-01-19,0.9041,0.6253874347562617,2002819.0,1.1081999999999999,0.8740960079097715,1902147.0
2022-01-20,0.7940999999999999,0.7038176109463504,3665126.0,0.9331999999999999,0.9231048414224357,2566555.0
2022-01-21,0.8633,0.654381383822686,2327412.0,0.9926,0.8545174509886861,2063351.0
2022-01-24,0.8798999999999999,0.6464638954745042,2438801.0,0.9773999999999999,0.8643177086134438,2043274.0
2022-01-25,0.9331,0.5855910309713184,3110531.0,1.0293,0.8224689375279847,2692845.0
2022-01-26,0.9672,0.8266915521239254,2632256.0,1.1885,1.0829362860525493,2413482.0
2022-01-27,1.0042,0.7729329776784427,2197901.0,1.238,0.9702258738526526,2041413.0
2022-01-28,0.9703,0.6922282699246636,2843086.0,1.1593,0.9428555760537455,2555697.0
2022-02-07,0.8819,0.7004186078801855,2174456.0,1.1046,0.9335240404652749,1871247.0
2022-02-08,0.8583,0.6964735682212941,2293514.0,1.1059,0.911465378482744,2373094.0
2022-02-09,0.8456999999999999,0.7380492108450256,1802159.0,0.9315000000000001,0.953592774325698,1602594.0
2022-02-10,0.9037999999999999,0.7396013452825172,1305895.0,1.0043,0.9273258202077685,1364511.0
2022-02-11,0.82,0.7596831484590731,2216993.0,1.0479,0.882446809949305,1925862.0
2022-02-14,1.0397,0.6895988626000337,2222024.0,1.0411,0.8211230623754686,2079325.0
2022-02-15,1.0559,0.7252301953470109,1562345.0,0.9792000000000001,0.8691734678063908,1551766.0
2022-02-16,0.8169,0.7605518999685579,1652232.0,0.8653,0.8996685131451684,1532135.0
2022-02-17,1.0122,0.8275713048442602,1882225.0,1.028,0.9661658587062066,1801633.0
2022-02-18,0.9940000000000001,0.8515664981682138,1840310.0,1.1381000000000001,0.969347209780552,1582111.0
2022-02-21,0.894,0.7767417066565085,1933183.0,0.9843999999999999,0.9462820252662775,1499684.0
2022-02-22,0.9634999999999999,0.7203727405814658,2507320.0,1.1181,0.8738342179533338,2026166.0
2022-02-23,0.8642,0.8640101535799378,1864585.0,0.9265000000000001,1.070348730725298,1514434.0
2022-02-24,1.1311,0.7677109747393415,2721817.0,1.2051,0.9853153751824018,2235962.0
2022-02-25,1.06,0.7843175130547883,1876248.0,1.0524,1.035011256274632,1809425.0
2022-02-28,0.981,0.7851227427217091,1397796.0,1.2304000000000002,1.030024555398467,1362871.0
2022-03-01,0.9115000000000001,0.8992040865663145,1869271.0,1.0806,1.0928910537024477,1317641.0
2022-03-02,1.043,0.865388000875395,1153063.0,1.2124,1.0364576522153648,1207346.0
2022-03-03,0.9133,0.8215582635393617,1480384.0,1.1207,0.9751378900724077,1284943.0
2022-03-04,0.9592,0.7386107997235387,2089179.0,1.0868,0.917857010591808,1830826.0
2022-03-07,0.9213,0.5966390492523974,3264777.0,1.0951,0.774045929276583,2807990.0
2022-03-08,1.0698999999999999,0.5518418146686812,3891112.0,1.2155,0.7274621957714842,3437754.0
2022-03-09,1.0755,0.5105824139418946,4907563.0,1.1618000000000002,0.6736704003333414,4084272.0
2022-03-10,0.8543000000000001,0.5436631059414967,2790210.0,1.0812,0.7530406351629629,2716169.0
2022-03-11,0.9514,0.5494917029338657,4447403.0,1.0732,0.8050919482092158,3932620.0
