trade_date,nav
2015-01-05,999312.1937537835
2015-01-06,1010162.37832267
2015-01-07,1008287.9597279837
2015-01-08,1005124.7563777997
2015-01-09,1006683.5173620213
2015-01-12,1005559.8972761608
2015-01-13,1009531.8203507566
2015-01-14,1006198.956649374
2015-01-15,1015664.0341046969
2015-01-16,1028203.1692977834
2015-01-19,1000994.0631089469
2015-01-20,1019905.3476388158
2015-01-21,1037290.9888742669
2015-01-22,1043854.417531566
2015-01-23,1037865.6564378566
2015-01-26,1049345.1324320605
2015-01-27,1048540.7735166973
2015-01-28,1041570.1978619873
2015-01-29,1034025.2788554293
2015-01-30,1025034.6150772974
2015-02-02,1020032.2106063217
2015-02-03,1036515.8669009741
2015-02-04,1035963.3148757973
2015-02-05,1035093.2099031734
2015-02-06,1023310.6493734549
2015-02-09,1019997.7328142972
2015-02-10,1029348.0601488617
2015-02-11,1038311.8030396495
2015-02-12,1043691.5867967788
2015-02-13,1055389.182704787
2015-02-16,1069198.4101312456
2015-02-17,1072459.7431536578
2015-02-25,1069337.2356972578
2015-02-26,1076269.7786626297
2015-02-27,1084708.9538214752
2015-03-02,1096860.7209687687
2015-03-03,1088697.831661142
2015-03-04,1098643.9075772446
2015-03-05,1094944.0952068742
2015-03-06,1083731.0961776539
2015-03-09,1094473.3107086432
2015-03-10,1101770.280709746
2015-03-11,1100522.6805406995
2015-03-12,1102882.7624141998
2015-03-13,1113351.5390510643
2015-03-16,1132817.3306601977
2015-03-17,1138998.4988954691
2015-03-18,1149757.471117441
2015-03-19,1152158.6838194053
2015-03-20,1158188.4214677066
2015-03-23,1172325.1225933286
2015-03-24,1177134.0439605908
2015-03-25,1176842.8311020383
2015-03-26,1169160.288441298
2015-03-27,1173747.7215256612
2015-03-30,1179229.992302608
2015-03-31,1175736.3946945863
2015-04-01,1187720.9995674877
2015-04-02,1195667.522134214
2015-04-03,1202481.0068397503
2015-04-07,1214793.4859012505
2015-04-08,1209966.5153415739
2015-04-09,1207005.5418802467
2015-04-10,1221274.1581837512
2015-04-13,1232780.7160800456
2015-04-14,1234918.1764144066
2015-04-15,1218777.697566837
2015-04-16,1237155.8623499963
2015-04-17,1242134.1608027108
2015-04-20,1231192.1283889266
2015-04-21,1252122.9496005515
2015-04-22,1270689.3686429812
2015-04-23,1276431.5770796626
2015-04-24,1275791.3301082042
2015-04-27,1288970.5396647635
2015-04-28,1284174.7845575851
2015-04-29,1290785.8023423178
2015-04-30,1294172.8166728127
2015-05-04,1292526.8746144306
2015-05-05,1283654.3978633815
2015-05-06,1279821.9103174866
2015-05-07,1276716.2082558922
2015-05-08,1292276.222925033
2015-05-11,1306787.0890368137
2015-05-12,1313414.3209670344
2015-05-13,1309703.326127347
2015-05-14,1309652.8519739802
2015-05-15,1308925.473745294
2015-05-18,1315169.6698823767
2015-05-19,1319323.8211323456
2015-05-20,1322918.3057167006
2015-05-21,1331204.7236258395
2015-05-22,1335306.7750992374
2015-05-25,1337364.7442331617
2015-05-26,1347685.9856041623
2015-05-27,1346933.4782482411
2015-05-28,1331192.7661639368
2015-05-29,1331483.0053904979
2015-06-01,1341854.0027760053
2015-06-02,1346365.5262291846
2015-06-03,1352583.2614318226
2015-06-04,1354524.832484046
2015-06-05,1358789.7316233667
2015-06-08,1359455.9735924392
2015-06-09,1356101.9824965054
2015-06-10,1354580.0770064371
2015-06-11,1355865.231485614
2015-06-12,1355768.8885708065
2015-06-15,1348490.0621758855
2015-06-16,1344259.7885515438
2015-06-17,1344921.3658412946
2015-06-18,1340584.6334799507
2015-06-19,1336987.7308215944
2015-06-23,1343332.9938552538
2015-06-24,1347624.889689161
2015-06-25,1338220.6053408715
2015-06-26,1326354.684367762
2015-06-29,1323315.0375487073
2015-06-30,1326467.3641007992
2015-07-01,1324045.1415471719
2015-07-02,1318418.5573357057
2015-07-03,1314352.910229888
2015-07-06,1319467.818462146
2015-07-07,1304784.5265856623
2015-07-08,1285306.917451005
2015-07-09,1309706.9015798317
2015-07-10,1331539.6240887698
2015-07-13,1356889.8249416123
2015-07-14,1359132.001107255
2015-07-15,1337374.4290767014
2015-07-16,1345424.5188353946
2015-07-17,1378722.8486503842
2015-07-20,1386794.4235470684
2015-07-21,1391556.86906594
2015-07-22,1391168.609710008
2015-07-23,1405759.8202772085
2015-07-24,1391225.8091840758
2015-07-27,1342568.1034121928
2015-07-28,1333898.7656297635
2015-07-29,1359640.1603946355
2015-07-30,1340185.8599069163
2015-07-31,1338068.2636412433
2015-08-03,1329500.714311636
2015-08-04,1349281.385848165
2015-08-05,1339891.879290305
2015-08-06,1338514.1625517868
2015-08-07,1350808.4274082754
2015-08-10,1375386.580593734
2015-08-11,1380593.7983299694
2015-08-12,1367376.0602945888
2015-08-13,1379441.32211568
2015-08-14,1379801.311898427
2015-08-17,1381465.1751120668
2015-08-18,1343543.4095527995
2015-08-19,1352946.636973089
2015-08-20,1334813.469172409
2015-08-21,1303106.6091799804
2015-08-24,1251378.7290961915
2015-08-25,1219995.0480997842
2015-08-26,1213592.9123035895
2015-08-27,1235726.9317221178
2015-08-28,1257615.3746992988
2015-08-31,1254121.6587082753
2015-09-01,1248196.9608621364
2015-09-02,1247411.4591905219
2015-09-07,1239047.1825248515
2015-09-08,1250393.3976621511
2015-09-09,1260760.555901804
2015-09-10,1252852.181313315
2015-09-11,1251743.0804614234
2015-09-14,1235341.6634676084
2015-09-15,1217687.597896226
2015-09-16,1239382.8118290105
2015-09-17,1233102.7439282336
2015-09-18,1236845.685339081
2015-09-21,1247832.6389472028
2015-09-22,1249580.4094242074
2015-09-23,1242900.5877609034
2015-09-24,1246703.0025952754
2015-09-25,1236598.2361564555
2015-09-28,1243844.9246978615
2015-09-29,1237753.610336281
2015-09-30,1240951.6027381055
2015-10-08,1254881.9267883222
2015-10-09,1262373.1252859435
2015-10-12,1282710.3363752407
2015-10-13,1283502.4016366238
2015-10-14,1280000.8371125562
2015-10-15,1291580.8102705325
2015-10-16,1294885.047917572
2015-10-19,1293638.161224642
2015-10-20,1309376.2798066179
2015-10-21,1277605.9725107583
2015-10-22,1295697.881339031
2015-10-23,1315435.8784477324
2015-10-26,1317131.9832374058
2015-10-27,1322554.579198289
2015-10-28,1309723.7367472015
2015-10-29,1309344.2841500102
2015-10-30,1306963.4858868995
2015-11-02,1294260.1361434888
2015-11-03,1294013.542487614
2015-11-04,1323910.8989410442
2015-11-05,1326033.331141289
2015-11-06,1342852.5511806428
2015-11-09,1350919.106320929
2015-11-10,1351547.1723847024
2015-11-11,1360612.830361615
2015-11-12,1355291.1730798043
2015-11-13,1340801.2950987455
2015-11-16,1353793.6407889442
2015-11-17,1346272.4155505458
2015-11-18,1333951.9731695612
2015-11-19,1356303.0460189348
2015-11-20,1361364.5879705623
2015-11-23,1355239.7628755078
2015-11-24,1361401.9078196017
2015-11-25,1375369.7386427128
2015-11-26,1366658.6228887767
2015-11-27,1324941.137149145
2015-11-30,1329142.888451289
2015-12-01,1329999.85389581
2015-12-02,1335806.9173428377
2015-12-03,1348208.341866843
2015-12-04,1339615.7233932884
2015-12-07,1351980.3142803898
2015-12-08,1338668.319000099
2015-12-09,1337257.8503413964
2015-12-10,1337273.5826511132
2015-12-11,1332200.1193245356
2015-12-14,1342441.828390849
2015-12-15,1346399.9382797333
2015-12-16,1349581.4713448563
2015-12-17,1368061.6619353942
2015-12-18,1366318.4686668045
2015-12-21,1376840.4067590754
2015-12-22,1379874.2349805844
2015-12-23,1372235.7308091386
2015-12-24,1371922.9694985985
2015-12-25,1372665.920370785
2015-12-28,1356983.9640505582
2015-12-29,1362322.6864005816
2015-12-30,1368420.07512134
2015-12-31,1356388.0723309529
2016-01-04,1303335.72395534
2016-01-05,1293695.9220901942
2016-01-06,1308420.7078864658
2016-01-07,1262043.9248843016
2016-01-08,1266849.186561884
2016-01-11,1231937.506482461
2016-01-12,1236359.7235903558
2016-01-13,1220725.9771447014
2016-01-14,1238742.0615599866
2016-01-15,1219587.5317184867
2016-01-18,1226413.1685406736
2016-01-19,1246413.8332346363
2016-01-20,1236219.0155381353
2016-01-21,1213079.49641489
2016-01-22,1222320.793074499
2016-01-25,1225458.331618505
2016-01-26,1179746.4613930252
2016-01-27,1175867.342822486
2016-01-28,1153692.0902396287
2016-01-29,1176252.7746671503
2016-02-01,1169632.5146353755
2016-02-02,1193421.3653468583
2016-02-03,1193076.978480595
2016-02-04,1206846.0660691122
2016-02-05,1201545.698863369
2016-02-15,1204632.2158413825
2016-02-16,1234333.3585126074
2016-02-17,1242946.7422168083
2016-02-18,1239172.0331865633
2016-02-19,1242437.2815990204
2016-02-22,1260603.451505245
2016-02-23,1254653.1778064102
2016-02-24,1258319.977615855
2016-02-25,1214393.228950685
2016-02-26,1216727.0132656314
2016-02-29,1189676.9367267038
