ma_window,val_window,q_threshold,val_coeff,is_cagr,is_mdd,is_sharpe,is_vol
200,1000,0.1,0.4,0.02464581030919999,-0.1683884549259257,0.3405907625600566,0.08447560263458859
200,1000,0.1,0.5,0.027949978640565254,-0.2256119311116029,0.32781922159422483,0.10332492158898274
200,1000,0.1,0.6,0.017550232079994954,-0.27174043983530266,0.20966461495029243,0.12080376568100293
200,1000,0.1,0.7,0.013896974395272155,-0.3039144171191041,0.17380675850065933,0.13436957249274498
200,1000,0.1,0.8,0.0019257196416575528,-0.33588161146997036,0.08685731810534175,0.14534234149854755
200,1000,0.12,0.4,0.0213655895204663,-0.18240566542161707,0.2989437004188774,0.08542574704429405
200,1000,0.12,0.5,0.024250339617993832,-0.24268083221359213,0.28902879560465766,0.10485047803926498
200,1000,0.12,0.6,0.014597896386177034,-0.2809760714937194,0.18387475535533446,0.12260249044115806
200,1000,0.12,0.7,0.012000021777812675,-0.30006010734848176,0.1592103469211442,0.13532765571562763
200,1000,0.12,0.8,0.00010334613462670283,-0.3302489026153468,0.07437941201912102,0.14631933887538376
200,1000,0.15,0.4,0.027205515180374507,-0.17794041456873697,0.3619744172774725,0.08728752972680145
200,1000,0.15,0.5,0.03217807850542931,-0.23072696935422593,0.35939739667907017,0.10720812055518751
200,1000,0.15,0.6,0.021502254441425395,-0.27269591523945874,0.23910042459516637,0.12470037938792762
200,1000,0.15,0.7,0.013388943814768517,-0.2981821375824328,0.16924057070729337,0.13713281574502614
200,1000,0.15,0.8,-0.0002827131481795142,-0.3355967153336409,0.07226252108748218,0.1475312538091237
200,1000,0.18,0.4,0.02654470456926039,-0.19139488876240837,0.35058627865207875,0.08853761757553995
200,1000,0.18,0.5,0.029871655069045433,-0.24102791968193765,0.33418604970558746,0.10892384252803737
200,1000,0.18,0.6,0.02012108405445301,-0.2766951875455526,0.22621385445695646,0.12675177155249412
200,1000,0.18,0.7,0.016086969416344576,-0.28860137727283075,0.1889818005582721,0.137941041976918
200,1000,0.18,0.8,0.0005544891112898576,-0.32937474053945204,0.07842481752494539,0.1481662541692943
200,1000,0.2,0.4,0.02691694671017686,-0.19139488876240837,0.35389804922881996,0.08884631356544233
200,1000,0.2,0.5,0.029764951927094385,-0.24102791968193765,0.33249065325243343,0.10927078260176966
200,1000,0.2,0.6,0.02018583485619385,-0.2766951875455526,0.22639898370801315,0.12717540265935287
200,1000,0.2,0.7,0.01637831743144602,-0.28860137727283075,0.19102497209379632,0.1382152813233379
200,1000,0.2,0.8,0.0013496143632263369,-0.32937474053945204,0.08406733637315579,0.14839340812678137
200,1100,0.1,0.4,0.018316314722562677,-0.15828878006248043,0.27329091151039964,0.08072409406116264
200,1100,0.1,0.5,0.02448652946829033,-0.203225250020574,0.2991189724322709,0.10073752357913805
200,1100,0.1,0.6,0.017122252611981192,-0.24737659981920845,0.20736514296312603,0.11913786208006288
200,1100,0.1,0.7,0.00964551462774299,-0.29138383835822607,0.14156305627626303,0.1341643021461777
200,1100,0.1,0.8,0.0034663282985532007,-0.32846582598414714,0.09839481691974494,0.14692641432551096
200,1100,0.12,0.4,0.02003159163469137,-0.15476980327499734,0.2915902283264763,0.08197289546294047
200,1100,0.12,0.5,0.025052036167415803,-0.21535653594079587,0.30088828340794893,0.10270297586630656
200,1100,0.12,0.6,0.019276613569632062,-0.2554220255047514,0.22384510655973955,0.12130906681828087
200,1100,0.12,0.7,0.008493797381036394,-0.2987856954418377,0.1327840687930328,0.13518931385928387
200,1100,0.12,0.8,0.0005535157833087556,-0.34301599035597014,0.07839427545808746,0.1478565284528367
200,1100,0.15,0.4,0.025739379469893908,-0.16209956871587733,0.35692763052995796,0.08348443397846604
200,1100,0.15,0.5,0.031335535140697424,-0.22023982380051785,0.354412344423077,0.10598947804837629
200,1100,0.15,0.6,0.02077010785825184,-0.25784823600391926,0.23433280368864515,0.12344357844939598
200,1100,0.15,0.7,0.010064877547714346,-0.2989085015092189,0.14457800675839858,0.1366360486839667
200,1100,0.15,0.8,0.0011846168909805943,-0.34057375330389716,0.08327562278444516,0.14894740895948938
200,1100,0.18,0.4,0.027895222592528413,-0.15927335826358804,0.37406990545715785,0.08604503724193392
200,1100,0.18,0.5,0.03451893489793578,-0.21886250461620288,0.37835494486030546,0.10838485587591244
200,1100,0.18,0.6,0.02414927380165177,-0.2470018445995978,0.2599328000258145,0.12533728638465805
