Leverage,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
1.0x,44.09%,4.10%,15.49%,0.35,-26.39%
1.1x,41.99%,3.94%,17.04%,0.32,-29.47%
1.2x,39.63%,3.74%,18.59%,0.30,-32.53%
1.3x,37.01%,3.53%,20.13%,0.28,-35.63%
1.4x,34.15%,3.29%,21.68%,0.26,-38.82%
1.5x,31.08%,3.02%,23.23%,0.25,-41.89%
