vol_target,val_tilt,strike_ratio,is_cagr,is_mdd,is_sharpe,is_calmar,oos_cagr,oos_mdd,oos_sharpe,oos_calmar
0.04,0.0,0.95,0.03866359677293252,-0.048174590551261276,0.9687161636674347,0.8025724003152996,0.08965697531621375,-0.037752828053251204,2.129101285545581,2.3748413016834284
0.04,0.0,0.97,0.03859953861640997,-0.04421349741171784,0.9632100790609044,0.8730261317481749,0.08931998808907649,-0.037752828053251204,2.122272138661413,2.3659151564245375
0.04,0.0,1.0,0.037662549248330235,-0.044492394511927505,0.9309750465466982,0.8464940954848738,0.08912817452031074,-0.037752828053251204,2.1215570292045913,2.3608343829128104
0.04,0.2,0.95,0.037582320822972415,-0.04915380246735834,0.9397448579807832,0.764586236190573,0.08883631657768487,-0.04010861402262201,2.100509075283207,2.2148937015769112
0.04,0.2,0.97,0.03751856081475902,-0.04545143855137703,0.9347434099191593,0.8254647599844191,0.0885176674653596,-0.04010861402262201,2.0940903163250724,2.2069490462929977
0.04,0.2,1.0,0.03661795700061332,-0.04528757546066051,0.9046436776424931,0.8085651887551777,0.08834081878814848,-0.04010861402262201,2.0935765765906544,2.202539802006686
0.04,0.4,0.95,0.036686162177937964,-0.04948358089042448,0.9165069294652668,0.7413805047612685,0.08822359468463015,-0.04131056208446314,2.095289010381251,2.1356183560090303
0.04,0.4,0.97,0.0366233833354872,-0.046959621170520466,0.9119703458632309,0.779890945084498,0.08792336190282701,-0.04131056208446314,2.0892384591462485,2.1283506557732097
0.04,0.4,1.0,0.03576113783831891,-0.046959621170520056,0.883893291543078,0.7615295214683027,0.08776147042004467,-0.04131056208446314,2.088988588900733,2.124431767367592
0.04,0.6,0.95,0.035537099296157004,-0.050234629172783506,0.8862083360022842,0.7074223475190011,0.0910926126013143,-0.04197599912099878,2.0919845959033916,2.170111837927512
0.04,0.6,0.97,0.03548397314012952,-0.04820388001270611,0.8823889726587503,0.7361227588064749,0.09081002582091391,-0.04197599912099878,2.0864836960223623,2.1633797341939998
0.04,0.6,1.0,0.03467085673217829,-0.04820388001270477,0.8566580543319587,0.719254481652521,0.09066266617293883,-0.04197599912099878,2.086376982989854,2.159869165033983
