Strategy,Total Return,CAGR,Volatility,Sharpe,Max Drawdown
Fast Momentum Only (Base),63.08%,5.53%,11.50%,0.54,-24.03%
"Option-Protected (ATM, 1.00)",103.58%,8.14%,14.98%,0.61,-18.22%
"Option-Protected (3% OTM, 0.97)",107.80%,8.38%,14.09%,0.66,-17.67%
"Option-Protected (5% OTM, 0.95)",105.66%,8.26%,13.62%,0.67,-17.23%
HS300 Buy & Hold,-7.92%,-0.90%,22.21%,0.05,-46.70%
