trade_date,nav
2024-02-06,999000.0
2024-02-07,1023003.8854842086
2024-02-08,1029848.051932895
2024-02-19,1039394.0698195657
2024-02-20,1041632.9828332177
2024-02-21,1045749.9216788985
2024-02-22,1054363.0741332571
2024-02-23,1056175.3893091744
2024-02-26,1047185.5065961049
2024-02-27,1062093.4773244213
2024-02-28,1045375.5076867084
2024-02-29,1067071.7185077693
2024-03-01,1073597.0311551825
2024-03-04,1078453.3283145607
2024-03-05,1080191.2920919224
2024-03-06,1079140.7236200431
2024-03-07,1069661.4743969273
2024-03-08,1078727.8368275
2024-03-11,1095318.0414297944
2024-03-12,1091808.7983678388
2024-03-13,1087801.8050564693
2024-03-14,1084911.7681177396
2024-03-15,1088911.5694225559
2024-03-18,1099911.6137142812
2024-03-19,1092013.9086322559
2024-03-20,1095204.221280382
2024-03-21,1095148.6308637343
2024-03-22,1083927.1786758725
2024-03-25,1073894.103073569
2024-03-26,1076400.5067799366
2024-03-27,1060568.789970769
2024-03-28,1067055.4683679475
2024-03-29,1076866.4647961857
2024-04-01,1094843.0624019164
2024-04-02,1092492.5537729596
2024-04-03,1090701.7638433303
2024-04-08,1082920.325543758
2024-04-09,1086564.3471478925
2024-04-10,1077310.754535993
2024-04-11,1078372.9816761191
2024-04-12,1075248.7893827443
2024-04-15,1090555.2028336297
2024-04-16,1074885.196961783
2024-04-17,1095180.9401053092
2024-04-18,1095225.8534528136
2024-04-19,1086730.8107662895
2024-04-22,1076606.9031836747
2024-04-23,1067623.9737482173
2024-04-24,1074427.9693559567
2024-04-25,1075477.1561863963
2024-04-26,1091424.8040217059
2024-04-29,1106707.9435803213
2024-04-30,1100164.7092520043
2024-05-06,1113669.0389111037
2024-05-07,1114575.0120933435
2024-05-08,1106995.221552745
2024-05-09,1118960.6765001533
2024-05-10,1118419.274065794
2024-05-13,1115817.6853602026
2024-05-14,1113232.5228556418
2024-05-15,1107661.8790265752
2024-05-16,1111658.0604489543
2024-05-17,1120790.5830824503
2024-05-20,1128886.920439005
2024-05-21,1124173.3520924344
2024-05-22,1127423.794050281
2024-05-23,1113801.4990748588
2024-05-24,1101379.200886622
2024-05-27,1112533.6508640647
2024-05-28,1104599.647501953
2024-05-29,1106187.9388192296
2024-05-30,1100901.702943342
2024-05-31,1098441.5979731944
2024-06-03,1098479.5680348536
2024-06-04,1107301.7991547734
2024-06-05,1099874.7726287728
2024-06-06,1099640.6310683428
2024-06-07,1092697.4244527775
2024-06-11,1084926.016226848
2024-06-12,1087632.0744592045
2024-06-13,1083778.6094498013
2024-06-14,1087355.4688912823
2024-06-17,1087555.8791780774
2024-06-18,1091753.7589550735
2024-06-19,1084669.7905967964
2024-06-20,1076661.9781189107
2024-06-21,1074163.933909509
2024-06-24,1060340.5584356247
2024-06-25,1051827.8316602034
2024-06-26,1062419.7848625048
2024-06-27,1051506.6379313439
2024-06-28,1052870.2062113911
2024-07-01,1060000.161956902
2024-07-02,1054960.941338835
2024-07-03,1052057.0666528405
2024-07-04,1045305.2603142499
2024-07-05,1046839.7193885626
2024-07-08,1036493.9377806038
2024-07-09,1049341.0667956143
2024-07-10,1042497.920268571
2024-07-11,1055598.7407668447
2024-07-12,1051327.7182686108
2024-07-15,1052398.059941924
2024-07-16,1057554.4841199114
2024-07-17,1054890.7715392644
2024-07-18,1059794.0008630708
2024-07-19,1057285.0049362662
2024-07-22,1053066.122898811
2024-07-23,1032762.4266605054
