ma_window,val_window,q_threshold,val_coeff,is_cagr,is_mdd,is_sharpe,is_vol,ma_idx,val_w_idx,q_idx,coeff_idx,mean_cagr,std_cagr,mean_mdd,std_mdd,mean_sharpe,num_neighbors,robustness_score
200,1000,0.1,0.4,0.02464581030919999,-0.1683884549259257,0.3405907625600566,0.08447560263458859,0,0,0,0,0.022792261453802184,0.0026463712289648473,-0.19499455918130904,0.029453568315674104,0.2980969360257105,16,-0.08112500604578012
200,1000,0.1,0.5,0.027949978640565254,-0.2256119311116029,0.32781922159422483,0.10332492158898274,0,0,0,1,0.020771289802311604,0.0037017996545966416,-0.21755782114075814,0.04060872293381798,0.2662933171116618,24,-0.09686972528575039
200,1000,0.1,0.6,0.017550232079994954,-0.27174043983530266,0.20966461495029243,0.12080376568100293,0,0,0,2,0.017216636976066218,0.005822429453380493,-0.25959389248630327,0.03227050979723422,0.21463663485358012,24,-0.12019889711720835
200,1000,0.1,0.7,0.013896974395272155,-0.3039144171191041,0.17380675850065933,0.13436957249274498,0,0,0,3,0.009960945896041648,0.006073190438121495,-0.29455689477695063,0.027775714439920496,0.14782522790602184,24,-0.14408728246804203
200,1000,0.1,0.8,0.0019257196416575528,-0.33588161146997036,0.08685731810534175,0.14534234149854755,0,0,0,4,0.006576745594397249,0.004434896504689405,-0.3104931696355977,0.017791947326412347,0.12039480221725052,16,-0.15311520798962194
200,1000,0.12,0.4,0.0213655895204663,-0.18240566542161707,0.2989437004188774,0.08542574704429405,0,0,1,0,0.024955121786833945,0.003987103038124794,-0.1962452931303472,0.028798476844112957,0.3186412764738351,24,-0.0797246407547872
200,1000,0.12,0.5,0.024250339617993832,-0.24268083221359213,0.28902879560465766,0.10485047803926498,0,0,1,1,0.022758210578308284,0.004774104076834542,-0.2185904972703797,0.03989708206104632,0.28418037216636477,36,-0.09547127528445774
200,1000,0.12,0.6,0.014597896386177034,-0.2809760714937194,0.18387475535533446,0.12260249044115806,0,0,1,2,0.0186880096052457,0.0069701764692045795,-0.260120735319438,0.03113319874494074,0.22649200783724194,36,-0.11899303309730239
200,1000,0.12,0.7,0.012000021777812675,-0.30006010734848176,0.1592103469211442,0.13532765571562763,0,0,1,3,0.01058418272449334,0.0068927662586439785,-0.29466690545087904,0.027401295370307988,0.152654463606685,36,-0.14360808232673658
200,1000,0.12,0.8,0.00010334613462670283,-0.3302489026153468,0.07437941201912102,0.14631933887538376,0,0,1,4,0.006694080006111529,0.004696252247500704,-0.31035990540109626,0.018084432998715688,0.12135241363431552,24,-0.15304200974367987
200,1000,0.15,0.4,0.027205515180374507,-0.17794041456873697,0.3619744172774725,0.08728752972680145,0,0,2,0,0.027096956391954946,0.0040978221576613945,-0.2008171461771918,0.02919386399595125,0.3369268504383731,24,-0.07996995392736347
200,1000,0.15,0.5,0.03217807850542931,-0.23072696935422593,0.35939739667907017,0.10720812055518751,0,0,2,1,0.02476110096789902,0.005007864023962008,-0.22232191715862692,0.03916005691314155,0.3005379652585852,36,-0.09523344179883515
200,1000,0.15,0.6,0.021502254441425395,-0.27269591523945874,0.23910042459516637,0.12470037938792762,0,0,2,2,0.02030374760196528,0.007568910468606926,-0.261832287100217,0.028404915640853498,0.238347071402507,36,-0.1178071611700353
200,1000,0.15,0.7,0.013388943814768517,-0.2981821375824328,0.16924057070729337,0.13713281574502614,0,0,2,3,0.011365238202317964,0.007754676777023337,-0.29464195620152234,0.026353875129736904,0.15842463833603457,36,-0.14277745027979524
200,1000,0.15,0.8,-0.0002827131481795142,-0.3355967153336409,0.07226252108748218,0.1475312538091237,0,0,2,4,0.007003162243583365,0.005353704592448313,-0.30929720474153494,0.018353291420541425,0.12375686005454707,24,-0.15238683932978206
