Portfolio,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,mdd_raw,ret_raw
Valuation+Trend Strategy,12.01%,5.88%,4.53%,1.32,-4.59%,-0.045943134764874716,0.1201395788802031
HS300 Buy & Hold,-6.33%,-3.24%,31.94%,0.01,-46.70%,-0.4669625064100902,-0.0632859507584912
ZZ500 Buy & Hold,17.68%,8.55%,38.23%,0.39,-54.35%,-0.5434540572619068,0.17676986542708795
Static 50/50,3.49%,1.74%,33.90%,0.22,-50.31%,-0.5030537956164005,0.03492339793712396
