Strategy,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,cagr_raw,mdd_raw,sharpe_raw
2-Asset Baseline (Params: Base),30.26%,2.95%,12.24%,0.31,-24.53%,0.02952623998401016,-0.24528786297123822,0.307611143485661
2-Asset Baseline (Params: Robust),45.14%,4.19%,8.69%,0.53,-13.61%,0.04186261812527703,-0.1361339603292372,0.5321249975612707
6-Asset Extended (Params: Base),28.50%,2.80%,16.11%,0.26,-30.81%,0.02798475732593264,-0.3080802395676598,0.2588143219080349
6-Asset Extended (Params: Robust),34.40%,3.31%,14.26%,0.31,-28.64%,0.03307880806773689,-0.2864170302170292,0.3082635785079936
HS300 Buy & Hold,-9.43%,-1.08%,22.21%,0.05,-46.70%,-0.010846475261594324,-0.4669625064100902,0.04566177998749413
Static 50/50,-10.85%,-1.26%,22.92%,0.05,-54.98%,-0.01255944611065185,-0.5497558553842129,0.04675823012918967
