trade_date,w_hs300,w_zz500,w_chinext,w_div,w_gold,w_nasdaq,w_bond,w_cbond,w_cash
2015-01-05,0.07055953950495282,0.08139166840282258,0.07107253616982422,0.07351022322880318,0.05662521947017899,0.12220384173174142,0.4651832246657958,0.05945374682588089,0.0
2015-01-06,0.0702522742902138,0.08198824900086929,0.07439868489134177,0.07339294525448223,0.056876579402821405,0.12008535994276544,0.4635146355637489,0.059491271653757186,0.0
2015-01-07,0.07023011208288313,0.08202618533886175,0.0735259659911237,0.07300527105582985,0.057049368168196564,0.12013540594291178,0.46360362717595444,0.06042406424423874,0.0
2015-01-08,0.06884506145031187,0.08165520628593591,0.07468379510932183,0.07149339690433523,0.05692463526370054,0.12225868500934314,0.4653708262991714,0.05876839367788006,0.0
2015-01-09,0.0684313536372259,0.08092806560575602,0.0750458303233013,0.07095951210652664,0.05696941988337955,0.12364489457906498,0.4650926275317281,0.058928296333017556,0.0
2015-01-12,0.06759463945328546,0.0792446365032867,0.06369411415304609,0.06920178487555352,0.0552202493007101,0.11867808943021672,0.49080587565110173,0.05556061063279975,0.0
2015-01-13,0.06745699954726023,0.08015344600619592,0.06415885623368549,0.06944093328574003,0.055391960256918296,0.11687398658344664,0.4908628429670582,0.05566097511969534,0.0
2015-01-14,0.0673036201200041,0.07986007071096722,0.06369737276689011,0.06931091757017922,0.05533715503636859,0.1163928581068303,0.49190878369590846,0.05618922199285199,0.0
2015-01-15,0.06872717137599409,0.08026903104750777,0.06314274292392164,0.07078861811579597,0.05482407423799362,0.11541566207903663,0.48961330854799257,0.05721939167175784,0.0
2015-01-16,0.0687099650242379,0.08060196078648871,0.06468794636391838,0.07071834065836877,0.05557864385227027,0.11423279400193218,0.4879100653182067,0.057560283994577126,0.0
2015-01-19,0.05608429520543291,0.07316576995269271,0.061822716670629795,0.056117995774326315,0.10205675738685661,0.12092292949171733,0.481022468948227,0.04880706657011735,0.0
2015-01-20,0.056267772379436365,0.07513459857173002,0.06393588776771034,0.05678181305407684,0.10127077174339322,0.12074659170374716,0.4767829701377371,0.04907959464216889,0.0
2015-01-21,0.05805733665362471,0.07607618416277315,0.0639380126696053,0.058313163850385874,0.101942115287475,0.12011130698875097,0.4710834916078981,0.050478388779486884,0.0
2015-01-22,0.058197969352813086,0.07692082665037649,0.06455059770797973,0.05810332120485325,0.10044987556019802,0.12100409884684193,0.4698702347877575,0.050903075889179965,0.0
2015-01-23,0.058243555303715576,0.07612380615846563,0.06279699500333884,0.058031449804785945,0.10111064878209407,0.12280924297766567,0.46991794743367904,0.05096635453625522,0.0
2015-01-26,0.05506887015404418,0.06922802877377271,0.05794808666924374,0.05520894427080142,0.10060359871046512,0.11997845293304871,0.4942138745125187,0.047750143976105434,0.0
2015-01-27,0.05465444458466462,0.06952091770612924,0.05817334358734938,0.05487846076674727,0.09999714820733976,0.12026276811576699,0.49549293882034373,0.04701997821165909,0.0
2015-01-28,0.05416420936851494,0.06945668856475036,0.05805172291843098,0.05473742128537282,0.10084408720863151,0.11895380377185671,0.49762952640030206,0.04616254048214064,0.0
2015-01-29,0.05379765311924148,0.06937786470074414,0.057703868605240176,0.0547954684894885,0.10090620414377044,0.11805619370908486,0.49968358864124063,0.0456791585911897,0.0
2015-01-30,0.05337023290467685,0.06893865199314858,0.05699139172566534,0.05438536128292198,0.09979822257115548,0.1202256539771917,0.5007683349819092,0.04552215056333091,0.0
2015-02-02,0.05291579138147094,0.06842582149406193,0.057382939094341216,0.05356221377559517,0.10327170360665856,0.11380909593157068,0.5057412583175924,0.044891176398709126,0.0
