factor,category,ic_mean,ic_std,ic_ir,ic_pos_ratio,valid_days
ths_hot,Concept,-0.08500161242271784,0.05914638295194023,-1.4371396555523341,0.07894736842105263,342
ths_hot_rank,Concept,0.1404451787365266,0.12959869431903395,1.0836928525745158,0.8538011695906432,342
vol_ratio,Volume,-0.0681988562964762,0.09844709348230853,-0.692746264862882,0.2543859649122807,342
alpha_006,Alpha101,0.05328683624623284,0.09093684078660416,0.5859763302232782,0.7076023391812866,342
alpha_012,Alpha101,0.043738258484767645,0.07622240421059737,0.5738241785698832,0.7456140350877193,342
mom_20d,Momentum,-0.09062663037032806,0.17273375224263754,-0.524660810025279,0.30701754385964913,342
macd,Technical,-0.07952283974049248,0.16176606535920346,-0.49159160522270895,0.32456140350877194,342
buy_elg_amount,MoneyFlow,-0.08010852145358928,0.16737354557671752,-0.4786211654748668,0.2719298245614035,342
sell_lg_amount,MoneyFlow,-0.08748204525075559,0.1896615666007504,-0.4612534147991661,0.2777777777777778,342
sell_elg_amount,MoneyFlow,-0.07664770292004719,0.17053626536008692,-0.4494510464281937,0.2894736842105263,342
buy_lg_amount,MoneyFlow,-0.08437320432350237,0.18981175391890742,-0.4445099030039458,0.28362573099415206,342
rsi_14,Technical,-0.06362177355633658,0.14418117245005582,-0.4412627007758248,0.31871345029239767,342
mom_60d,Momentum,-0.07756648180418829,0.18202094454235818,-0.42614042026431614,0.29239766081871343,342
bb_position,Technical,-0.058775376064853314,0.14233380934576026,-0.4129403711951174,0.3567251461988304,342
turnover_rate,Liquidity,-0.08850328378905549,0.2241447372241796,-0.3948488145877743,0.3216374269005848,342
news_market_impact,News,-0.00854564718711819,0.02186670725253157,-0.390806310635948,0.38095238095238093,168
news_has_mention,News,-0.00854564718711819,0.02186670725253157,-0.390806310635948,0.38095238095238093,168
news_stock_impact,News,-0.008496725094239353,0.021946507860246215,-0.3871561320072372,0.38095238095238093,168
mom_10d,Momentum,-0.059345179466775186,0.1608239482331155,-0.36900710446900553,0.347953216374269,342
volatility_20,Technical,-0.08410224419216956,0.2357884721307593,-0.35668513999925183,0.3508771929824561,342
alpha_023,Alpha101,0.03040250456761129,0.08979294207786151,0.3385845687208755,0.6403508771929824,342
atr_14,Technical,-0.07419808259613168,0.2414930115562434,-0.3072473282683423,0.3508771929824561,342
kdj_k,Technical,-0.03982934640384379,0.13884716335011324,-0.2868574729424698,0.4093567251461988,342
net_mf_amount_norm,MoneyFlow,0.03202767571344968,0.11769875787328866,0.2721156645334339,0.6257309941520468,342
net_mf_vol,MoneyFlow,0.026817674345841536,0.10896964309176867,0.24610224999321195,0.6111111111111112,342
mom_5d,Momentum,-0.03121173996699933,0.16816939467646067,-0.18559702868079694,0.43567251461988304,342
volume_ratio,Volume,-0.011243411151612114,0.08476298726205977,-0.13264529147434503,0.4349112426035503,338
alpha_009,Alpha101,4.263003747345705e-05,0.12608342645937373,0.0003381097632779927,0.4853801169590643,342
