,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10,Long_Short,Benchmark
20200102,0.9076000992767539,0.9160136310505711,0.9348724690248524,0.9315224526333238,0.947199705056955,0.9471847298401694,0.9409963189553409,0.9640294283861877,0.9432705454928799,0.9686760956170564,1.0610759963403025,0.940137618527943
20200207,0.998309542489582,1.0311878196756663,1.0556182028935879,1.0644945434155058,1.094965372988234,1.0936365216685293,1.0789950140053644,1.087852126434533,1.0421435644963482,1.0330061745739203,1.025493899220215,1.0580650252429775
20200306,0.9361492217427334,0.9601068304131886,0.9714002799865957,0.9753641951814253,1.0126260049706188,1.011590347406458,0.9790227785469666,0.9737876587103347,0.9391593125046745,0.9033895088040361,0.9606728082041487,0.9663543303882678
20200403,0.9540471293381514,0.9677363727450006,0.979585616957329,0.9829577020355464,1.0333821683367705,1.0298300919862842,0.9844195422650464,0.968793576598833,0.9604948420320102,0.8811293352046554,0.9186343670879638,0.9741108516938819
20200507,0.9777254220797985,0.9991355442087381,1.0152037393113937,1.0211785593020308,1.0591579774945779,1.061526621710381,1.0134337901730779,0.9970510053334615,0.9862243808023955,0.8812204463076486,0.8959299653814435,1.0007772091312617
20200604,1.0778157442945357,1.1018137763598574,1.1098027906934547,1.1082628018521163,1.1491668279915832,1.1480398925975321,1.107913599433768,1.078002299228912,1.0729385486400538,0.914991830794127,0.8385481954353096,1.0856250078613638
20200706,1.1146055935825274,1.1756531184924186,1.1927951508696737,1.2057566523911865,1.2532857349532278,1.2494296407538659,1.2022800810085068,1.1503756535666552,1.1463505536877365,0.9568777207263209,0.8483119389331231,1.162620170842259
20200803,1.1395767241513635,1.201501591413943,1.2078149586839946,1.2247052230690252,1.25430392820803,1.2499085834229846,1.1895305711865847,1.119718837653128,1.1188921718626765,0.9005195971741717,0.7793429105893275,1.1572368142409197
20200831,1.083928709205972,1.1264040143318146,1.1300937111722595,1.1425720080798645,1.161711398437557,1.1417111905745099,1.0834598309680492,1.0078170507091713,1.0051174076668166,0.7982148375498358,0.7288616068265342,1.0637886792716968
20200928,1.0782545423832943,1.1358929109209848,1.1299470871750983,1.1532721762977167,1.1652991894412448,1.1578868822278545,1.0846778453855528,1.0114605922025157,1.009146785601152,0.7949183525991027,0.7296669943991735,1.0674342335132254
20201103,1.1236205269300117,1.185451670794784,1.1852947087381935,1.2084152609521062,1.2097859215782398,1.1888446942451985,1.128992369853182,1.0544609682357455,1.058361454555192,0.8186043609587239,0.7207090495545878,1.1111245227842648
20201201,1.060911962538275,1.1164109737085561,1.1181339749437613,1.128657210049372,1.1613912981209427,1.1373779279733454,1.078243370179461,0.9986745501891067,1.0013910108627597,0.7694162818803653,0.7176256025163182,1.0520335687668343
20201229,1.0321271536471,1.0821205208545497,1.1026255312035955,1.0978195277253682,1.151208705363777,1.1374035070972852,1.0581973374122553,0.9930185271450456,1.0013366952872096,0.7378293924326463,0.7076355949943555,1.0338219523035432
20210127,1.0839470115650451,1.1430071222211797,1.1686747282195349,1.165992417821529,1.2027562065950652,1.1998689474125224,1.1178882417937122,1.038327284081113,1.0393760672860064,0.7658264707647225,0.6989588064520458,1.0861416562456845
20210303,1.1287708120636022,1.1759036910736622,1.1809821213251506,1.1851936464074209,1.2064012339688046,1.205232937064885,1.1022748680866392,1.0248621424243138,1.0403053548236094,0.7416791222586824,0.6480162509731007,1.0912598130258917
20210331,1.1550180835404786,1.1951615104767193,1.2060329615753624,1.2022841497459686,1.228289742777644,1.2315933399966374,1.1057527296319642,1.022044218706137,1.0447960013950983,0.7278422959786591,0.6208585057769047,1.1023153998209947
20210429,1.1782037296393522,1.2162221643634852,1.2556141788459203,1.2371723666120849,1.2744954060310612,1.2903144563738473,1.1689600995558966,1.09358224386072,1.1164057334863704,0.8057251422395844,0.6748305264305753,1.1569714839606815
20210601,1.1626109973350085,1.2096163276833058,1.258094864087931,1.2326378735191061,1.2835916206193971,1.2970095272996074,1.1786765854680843,1.0996096343019481,1.1274636636432689,0.7863005395630067,0.6674924877591116,1.1559873918524979
20210630,1.0862142253015528,1.13877061662851,1.1936913239469689,1.1733838097437521,1.219457486693627,1.2253036587912596,1.132168267220927,1.064840759836127,1.0940011874971116,0.7562724744006339,0.685863440336295,1.1019110293672343
20210728,1.151239458286704,1.2085563242767436,1.2800863028277014,1.2718796774712753,1.314559599817083,1.328006941669989,1.260437558246887,1.1885364087645645,1.2200090283471632,0.8485391074781288,0.7284814466965605,1.201734603831951
20210825,1.208185766043074,1.2607413779912489,1.337251855900755,1.3100330554168005,1.3570802969927949,1.3530582584258515,1.2799753735359318,1.2227042190982456,1.2438676475445352,0.8571359055556048,0.6998274138099719,1.236879274058549
20210924,1.1730336915770283,1.2060890454474635,1.2789233565490616,1.2578009827154806,1.281963903329044,1.2856853878811063,1.2109378204380188,1.1545037918302452,1.1442498552148745,0.7822801895381979,0.659071248537489,1.1703039803299724
20211029,1.2301220485412656,1.2870340981934216,1.3750118774396058,1.367220670404696,1.3706819416928822,1.3834545739402277,1.3369770253583988,1.2490026699936463,1.24421428452829,0.8261474512131435,0.6639542233059411,1.2583532896998744
20211126,1.3017397515063482,1.3661070041667869,1.4765476409095315,1.4547193856617806,1.4495498026997407,1.449414581127847,1.3903082661438286,1.2888461652443755,1.2366813876120777,0.8324163083288683,0.6303369349188013,1.313220800172269
20211224,1.313213348316231,1.3635307450217449,1.4734668292548194,1.4527367287110786,1.4374470641503203,1.4450575419981906,1.3830239292620032,1.2634870614642126,1.1855341148488745,0.7931926207515201,0.595079463449562,1.2972903933484163
20220124,1.297811156432567,1.362718675788508,1.4673378165080302,1.4438901266887623,1.4479926734539201,1.4568510180371768,1.3978829745978558,1.2662215471044374,1.192758179392514,0.7849089613929304,0.5958442530433262,1.2974753848576839
20220228,1.2234387464115926,1.3060985240011558,1.395098209366894,1.373545102429772,1.3822204765207136,1.384218408720484,1.3328142839868102,1.2174349243308265,1.1410975820580067,0.755447233611346,0.6076245809336911,1.2380449821848545
20220328,1.1215534635114,1.1503499344157155,1.2123183120039613,1.1705356178560122,1.1808144033877785,1.1526916355181704,1.0972978475322486,1.0123950222928315,0.9301358883491246,0.5964517240603969,0.530342262327209,1.0480404592859591
20220427,1.227511029005438,1.296434024046185,1.3638632932049968,1.3294212608308897,1.3515268688804674,1.308182507573863,1.2513442481832375,1.172321288338495,1.0729135697398544,0.6634433999767061,0.5398052022289875,1.1869788239595307
20220530,1.3167668769230962,1.3764192814276854,1.484032581747425,1.4651205155386502,1.4745331541511069,1.4300354007308473,1.3697414460068602,1.2635940506515817,1.156297383657687,0.6850418954709505,0.5181278537442414,1.2809195325693465
20220628,1.2997964912498359,1.361309376188466,1.4990282970635607,1.4760785681006872,1.4787314868685437,1.4368368373703198,1.3866913747921301,1.282784450264178,1.1610096765419726,0.6673747903591202,0.5114430213548941,1.28182631693361
20220726,1.3182785518180073,1.3984661267054717,1.541985488092092,1.5225041387942206,1.552948070616246,1.5074996859406853,1.4485319927223452,1.3543903590569386,1.2131807445247695,0.7016148486810033,0.5304105996796461,1.3327908845752916
20220823,1.2903832450702044,1.3475936712739722,1.4669182964485707,1.438642056861204,1.4725653600682806,1.3890635044127195,1.3299883973591784,1.2182199566227112,1.0906382611547265,0.6134171533305885,0.47495813003974796,1.2393966113382802
20220921,1.2765358250536507,1.3535959318866972,1.4587447220833158,1.4476777341509899,1.4493345257930321,1.3675617125855413,1.3202336484132653,1.2166556937048982,1.0588672521078097,0.595098077230435,0.46587088362930257,1.2264491992873658
20221026,1.3403231674222666,1.4106949832393392,1.5246518177912194,1.512374225131474,1.5186829702530038,1.435106990597261,1.3814287498656785,1.2615280230679475,1.0985450139666457,0.61408132938277,0.4574527227282567,1.2794181553732706
20221123,1.3514343845428927,1.4026144934007188,1.5140304920882288,1.5071569943607714,1.506667218318507,1.404152562676611,1.3568968979844824,1.2371854635856296,1.0673544796621557,0.5942113320982635,0.43885853811338205,1.2621370049893526
20221221,1.4040854329075034,1.4705632325182487,1.5747677058179115,1.564804507862339,1.588903815465319,1.470178370318045,1.4089520374835027,1.2785188223599,1.0894491165117943,0.5815139143577173,0.4123831225139167,1.3048574604856382
20230119,1.4691564115462776,1.5507238409466655,1.6739673474192005,1.6503886385061453,1.6728033295780567,1.553534290970469,1.4864136167836723,1.3529022977503216,1.148392318031059,0.6061827758451352,0.4107656568133914,1.3750203498852978
20230223,1.4814818659754299,1.5236856604378368,1.6553942506844095,1.6209201686168986,1.6354413046056144,1.516348001078661,1.46406600134956,1.309998122613333,1.116790109315815,0.5888033375391721,0.3955427755605511,1.3492773169898526
20230323,1.4589420534036175,1.473841975103092,1.5903159635307504,1.5544187270498548,1.5515328764923761,1.4342684575033404,1.3912877614195922,1.2304491673521165,1.0604583742194011,0.574169657062269,0.39173018339018484,1.292703143504212
20230421,1.4444595630557675,1.4697676553423202,1.5897080934575294,1.5523219640581603,1.5709537406362744,1.4213916390671986,1.3771639013786063,1.2122709243094727,1.0434807507557204,0.5456657208344222,0.3761718179692991,1.2795762678255158
