Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,1.3208005186190628,0.2137206338974027,2.8968906811610053,-0.05002599124404808
Decile_2,1.3724938656193504,0.24659528580173218,2.9994454848038057,-0.039734057529692564
Decile_3,1.4486296773219967,0.294337928269657,2.6361609809344104,-0.06364199630410905
Decile_4,1.3967759449129864,0.2619073191052803,2.8246821533772697,-0.050103676467002506
Decile_5,1.382921899869323,0.2531811005469642,2.8187064245035924,-0.03804505184195166
Decile_6,1.3556234633694595,0.23590849922194979,3.1058063735437735,-0.04861945037832297
Decile_7,1.3303456899006867,0.2198199561337617,3.262710958355084,-0.03357585951625701
Decile_8,1.3101494695476479,0.20689882567284545,3.13946105532139,-0.03768320792137884
Decile_9,1.3487901612470767,0.2315683661694039,2.337689503948494,-0.05224605581968043
Decile_10,1.4625051921091574,0.30295582956094025,3.053178063588198,-0.048304405052664
Long_Short,1.1121610270749167,0.07680935906045683,1.5994292465542137,-0.02533645907787974
Benchmark,1.372779655722684,0.24677597845092714,2.9520885964432186,-0.04619437979129874
