Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,0.7033861669689428,-0.05750920668239379,-0.06780432651722852,-0.5610634712486491
Decile_2,1.4961552242024594,0.07017545930228963,0.4300457814159972,-0.3579129124313098
Decile_3,2.077798174160489,0.13100439643712058,0.6746093739091589,-0.25654122429064563
Decile_4,2.3547677156046696,0.1550811624390509,0.7894167494350635,-0.1946035194159009
Decile_5,3.214849286896732,0.21723303757761192,0.9971616243475373,-0.19243400931944715
Decile_6,2.9923756921832116,0.20262705510026136,0.9620022509382409,-0.2078236006608503
Decile_7,2.8559692742280216,0.19321865131199822,0.9130847870143285,-0.23815705021982692
Decile_8,2.4075653868099236,0.15940077528827823,0.792643489066865,-0.25668256287216873
Decile_9,1.5450920772548349,0.075989291921571,0.47065022242448057,-0.3431795975498482
Decile_10,1.0219349221755298,0.0036592162737936196,0.12144177596286247,-0.4667973262462225
Long_Short,1.3297689967982713,0.04914635059967898,0.3515580567133134,-0.1982847207976804
Benchmark,1.8988004277864963,0.11398227963791951,0.6300903868437444,-0.2704689556492698
