Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,1.8266285731450043,0.10673930060915637,0.6556315805401827,-0.19374082277043092
Decile_2,1.9782072432152364,0.12169144389226916,0.6725669134118264,-0.20273565865948293
Decile_3,2.3441746554341325,0.1542048106183227,0.7965346140392348,-0.21441770193843637
Decile_4,2.9759789459722623,0.2015152132426039,0.9379554229246667,-0.20877348082787134
Decile_5,2.66800851627242,0.17962220057176626,0.834353588924048,-0.24992030605808047
Decile_6,2.848143113901117,0.19266760334156152,0.8492004931180139,-0.23494943669314358
Decile_7,2.658429408417675,0.17890818305896583,0.7913774879373214,-0.23189467403294725
Decile_8,2.3632993181583615,0.1557845916928713,0.6929187005348475,-0.2674127537836391
Decile_9,1.661806726145235,0.0892605868563976,0.44922061461271806,-0.3222503050078082
Decile_10,0.3785554279191284,-0.15085135741947875,-0.46553664430301706,-0.6989134961021886
Long_Short,0.20889883917946694,-0.23171864604920633,-1.2193783415888122,-0.8034467662703172
Benchmark,1.9696469088952193,0.12087287745003206,0.6169717680932598,-0.2582707873677206
