trade_date,nav,cash,holdings_val,benchmark
2022-01-04,1000000.0,1000000.0,0.0,1012861.39747006
2022-01-05,985275.3999690317,0.0,985275.3999690317,1000828.9914888899
2022-01-06,998684.2175203444,0.0,998684.2175203444,1009825.2344941255
2022-01-07,983241.577549177,0.0,983241.577549177,996674.7009201066
2022-01-10,995353.0239789056,0.0,995353.0239789056,1003895.5437134068
2022-01-11,998130.8170113285,0.0,998130.8170113285,1001119.8837280107
2022-01-12,1006547.4154831542,0.0,1006547.4154831542,1013083.0660975159
2022-01-13,996449.7333598001,0.0,996449.7333598001,1005133.7611536733
2022-01-14,990114.2734500777,0.0,990114.2734500777,996496.3317638484
2022-01-17,987143.9306297275,987143.9306297275,0.0,1007304.5787474366
2022-01-18,987143.9306297275,987143.9306297275,0.0,997167.7092929048
2022-01-19,995340.3895704766,0.0,995340.3895704766,997866.6437316347
2022-01-20,968355.8652096674,0.0,968355.8652096674,977757.3931295397
2022-01-21,972705.9566226059,0.0,972705.9566226059,968852.8688676858
2022-01-24,961175.1256735744,0.0,961175.1256735744,965853.6984455577
2022-01-25,926406.1103458772,0.0,926406.1103458772,928556.4426384439
2022-01-26,923054.0209457641,894616.1343503856,28437.88659537846,935519.1657453066
2022-01-27,920210.2322862262,894616.1343503856,25594.097935840615,908469.8838426643
2022-01-28,920133.4499924188,920133.4499924188,0.0,918042.3548664597
2022-02-07,920133.4499924188,920133.4499924188,0.0,933043.422300364
2022-02-08,920133.4499924188,920133.4499924188,0.0,948871.7008021948
2022-02-09,929568.355329962,0.0,929568.355329962,961309.413091037
2022-02-10,926076.5227243764,0.0,926076.5227243764,962066.2627436658
2022-02-11,907763.8446128902,0.0,907763.8446128902,946174.4103413961
2022-02-14,912925.758921847,0.0,912925.758921847,946085.4156047943
2022-02-15,910186.9816450815,910186.9816450815,0.0,948431.8414849956
2022-02-16,910186.9816450815,910186.9816450815,0.0,959650.9982926169
2022-02-17,910186.9816450815,910186.9816450815,0.0,956288.4368800833
2022-02-18,910186.9816450815,910186.9816450815,0.0,964488.1364147526
