factor,ic_mean,ic_std,ic_ir,ic_pos_ratio,valid_days
ths_hot_rank,0.044058150740527505,0.07976642187093431,8.768118766072464,0.7617728531855956,361
turnover_rate,-0.0540223884554789,0.1559822153876131,-5.497926980755306,0.3522727272727273,1496
macd,-0.041581755596077054,0.14370238637198127,-4.593451249998394,0.3885480572597137,1467
rsi_14,-0.02631512814710227,0.12861672417683337,-3.2479423764659616,0.41570751523358157,1477
volume_ratio,-0.012230407442329883,0.08066634307240789,-2.4068489007629323,0.425689307330195,1487
circ_mv,-0.02520510119909531,0.18566868764915542,-2.155013763086469,0.4217914438502674,1496
