Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,1.9334927788423482,0.1173827256886173,0.8685169539620683,-0.15776081922711085
Decile_2,2.071816139363806,0.13045560270194057,0.8240720843043535,-0.20876650952655618
Decile_3,2.574118179548088,0.17252964725935493,0.9502557670949017,-0.20700704572722442
Decile_4,2.7108404507987256,0.18278900682943888,0.9310740403729012,-0.19617438994396727
Decile_5,2.557671300116655,0.17126516002406356,0.8430247493660038,-0.2534077268157114
Decile_6,2.5693199286550903,0.17216143865773703,0.812745030274704,-0.2558833901051144
Decile_7,2.516042127553946,0.16803409396428393,0.7761995182032209,-0.23361762828699828
Decile_8,1.7797782355334282,0.10190907882522704,0.5157261447059633,-0.3301568715710585
Decile_9,1.3847156333249322,0.05632162893504833,0.371076902030684,-0.3996716853780874
Decile_10,0.44526021724569737,-0.1273324404840186,-0.2500962399297585,-0.7134920300263708
Long_Short,0.2407414473327715,-0.2131493093646264,-0.9704418442530707,-0.7805336180105288
Benchmark,1.8988004277864963,0.11398227963791951,0.6300903868437444,-0.2704689556492698
