Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,0.6400438599900741,-0.07236315192438303,-0.11614072808040324,-0.599093303970046
Decile_2,1.6496896262549199,0.08791952321247698,0.5262469820402129,-0.2351832217875096
Decile_3,2.328669490867373,0.15291612870318794,0.7401962719858384,-0.20104661833664317
Decile_4,2.5923205058123036,0.17392128942523644,0.843663744418277,-0.20148555623125633
Decile_5,2.934507132021539,0.19868015430416675,0.9215341030310698,-0.21084074068118952
Decile_6,2.822832143810933,0.1908767673190317,0.9326949927324059,-0.24361105618196577
Decile_7,2.6952612165304792,0.18164199353251553,0.8719982509412082,-0.2724066870857615
Decile_8,2.4125858812191385,0.15980740999957344,0.8244829808813621,-0.2399662805998723
Decile_9,1.831363738368103,0.1072217383766898,0.5851577675310311,-0.2796497624659452
Decile_10,0.8536998873742457,-0.02627538235028226,0.04737020409323571,-0.5225313676631779
Long_Short,1.2655120901257002,0.040435515450822024,0.3597879010720892,-0.1713322815388049
Benchmark,1.8988004277864963,0.11398227963791951,0.6300903868437444,-0.2704689556492698
