Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,0.15914925982783928,-0.7218044494335377,-1.6920457867553942,-0.873168810317417
Decile_2,0.26452948382337976,-0.6037535496196458,-1.4889761061562936,-0.7951664540314544
Decile_3,0.4612175943820671,-0.4165093274828847,-1.0649198749489837,-0.6618384319253046
Decile_4,0.3833149961865751,-0.48702095490673736,-1.0036230391458199,-0.6801776329800646
Decile_5,0.22179604175034826,-0.6494926620960866,-2.1892392695759124,-0.8214096494420322
Decile_6,0.504200004165816,-0.37917078440025465,-1.1439457708725755,-0.628077477242141
Decile_7,0.3882299694697933,-0.48245097021242156,-1.2293580177119368,-0.6981689547610656
Decile_8,0.43729655386325395,-0.4377460666665022,-0.9490638612508612,-0.6396692887935681
Decile_9,0.46787942432544244,-0.4106551566605884,-0.7493150774974452,-0.5908972420844231
Decile_10,0.41289188893837897,-0.4597793740607351,-1.094096528131871,-0.674670681994479
Long_Short,1.9937325758600355,0.6166198261502458,1.4136173517739237,-0.26737460907180255
Benchmark,0.36572927508324526,-0.5035205865641564,-1.4691337291059006,-0.7041406194198538
