Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,0.558506905925475,-0.0934001826243761,-0.30847850005947636,-0.5810263299063982
Decile_2,1.246585169579585,0.03779963977911405,0.26837154608292146,-0.3668185371986323
Decile_3,1.884562170469658,0.11257171550930312,0.5733514231374532,-0.23477058611182153
Decile_4,2.3954894061096668,0.15841978589894623,0.7566849928688708,-0.22393752627014282
Decile_5,3.08859497644187,0.20905130700325314,0.9514590409103438,-0.20758593261384023
Decile_6,3.2076562692286283,0.21677414882691437,0.95482146868177,-0.20427411732211165
Decile_7,3.0216537566220443,0.2045998226247121,0.8940360085482932,-0.23713488758163448
Decile_8,3.189374657036696,0.21560398404968995,0.9006116426341486,-0.22616141008361376
Decile_9,1.8282583758301632,0.10690546875686446,0.5465051239864213,-0.2794638514733271
Decile_10,1.3976506697447564,0.057976260510221866,0.33116185240395035,-0.3969639885876208
Long_Short,2.3322428734862437,0.1532137549104362,1.1374105478181786,-0.09474356389595369
Benchmark,1.9696469088952193,0.12087287745003206,0.6169717680932598,-0.2582707873677206
