Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,1.0817281736699016,0.05621115557610268,0.4946205623723709,-0.24779978728126115
Decile_2,1.2693623915133683,0.18061781289242362,0.8783628019652234,-0.17911415609059883
Decile_3,1.3036440143418992,0.20272390811161167,0.8855784552664236,-0.19111155763503937
Decile_4,1.4043082755379193,0.2666406505312686,0.9354177428975327,-0.20623265711234212
Decile_5,1.5125964672184018,0.3338625999252671,1.0852187119379526,-0.19132539925041134
Decile_6,1.5024792153272195,0.3276455414215047,1.002695187599539,-0.22536350294248836
Decile_7,1.5371719252415306,0.3489118806435567,1.0149214458571636,-0.21468467214271497
Decile_8,1.5544950842486003,0.3594761527530157,1.0410561279911448,-0.17772170946677662
Decile_9,1.4889993602359277,0.3193423554066259,1.0148361270715713,-0.18065968468165441
Decile_10,1.319588580909892,0.2129452543543866,0.8349571424793727,-0.16918530529060918
Long_Short,1.2040891425934874,0.13801794078055885,0.8148035301678191,-0.13876468921417096
Benchmark,1.3956419744439441,0.26119405887110125,0.9467245749431402,-0.17716978229620245
