,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10,Long_Short,Benchmark
20240815,0.9692092752393975,0.9668393980963084,0.9732632218741105,0.9772167637123947,0.9749640514145201,0.9655565698472758,0.9571379727764778,0.9677206099399558,0.9685512942236335,0.9668447775659855,0.997635502326588,0.968729948581551
20240829,0.9708628048766811,0.9516967923702476,0.9713573277040712,0.9828254032036235,0.9636762512276443,0.9624721531452878,0.952417501168819,0.9503029588164216,0.9668498197100336,0.9616995776294188,0.9906244187347037,0.9634026044910065
20240912,1.227177110050452,1.170747226330125,1.195398399473135,1.212935476938082,1.1831835001308009,1.1950745411933659,1.1970445158604406,1.1723214460607656,1.1748908355707415,1.1705209889730386,0.9441950048310939,1.189920518904241
20240930,1.0907108690739953,1.0441039150169813,1.0820472784323414,1.0989878260142656,1.0642494806637248,1.0675539140842698,1.066993781690882,1.039524763741944,1.0437488687720613,1.0524680650234217,0.9539658684837266,1.06500417212907
20241021,1.197123001191407,1.1125230616282598,1.1640735649669927,1.1947789346646736,1.1109483548296921,1.1682113271949044,1.1600659282111896,1.0905539106227273,1.1069381293030687,1.1115244426772422,0.9144240722748064,1.1413948309028163
20241104,1.1935782391462595,1.1195076115534042,1.1713774067789111,1.2001009070565767,1.1178854637793616,1.1670456754725722,1.1705769657078762,1.0971067140151136,1.1139460896419842,1.1121864680302693,0.9176763758265579,1.146107848765086
20241118,1.2710634215380068,1.2156784466932946,1.279666751555023,1.3143617513736974,1.1974262793090402,1.2380910381329195,1.2446801301432202,1.139413268971058,1.1909893242177925,1.2007577676461128,0.9311833801904703,1.2287594040935674
20241202,1.3082777529744882,1.2387988361758624,1.3195272856420688,1.3567934297061168,1.2230115108592254,1.2640193429570936,1.2919901529468898,1.1532120178254703,1.2218619331001854,1.2395088937249132,0.9339714536422596,1.2609961669637908
20241216,1.2146804826932558,1.1832139628581968,1.2331304400546097,1.2511362349538082,1.1749861237400927,1.1833947384683632,1.2061877456777903,1.1210216980179413,1.163870520596505,1.1686502552949753,0.9473979001760491,1.1901511700600405
20241230,1.1604542273554272,1.1358943196678812,1.1909344773516377,1.2013294486383839,1.113662282348385,1.1321295059997047,1.1349529030504895,1.0657882553352327,1.1244673043584554,1.1361564359178922,0.9633500263249707,1.1396687802503631
20250114,1.1477225444776953,1.1425290222948528,1.1888107782525228,1.2087957090234998,1.1293768016320356,1.1332053510781377,1.1312090943328412,1.0752081931895783,1.137837236339585,1.1539125201310032,0.9889746517841262,1.1450674732784618
20250205,1.203572685450204,1.206705493553564,1.2681511107339907,1.2839460687148518,1.1911815141445399,1.1767923515229672,1.1849653890840357,1.1132305624098944,1.2144264808532663,1.2296553488225732,1.005765760098969,1.2072175596709065
20250219,1.2143803693347308,1.2245696160615824,1.2933923704885346,1.302863478796832,1.201670963442579,1.182872514932018,1.1909231000608675,1.111344844016326,1.2311660497865273,1.2602934393455019,1.0217939747777824,1.221034693876194
