,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10,Long_Short,Benchmark
20241122,1.0456033445561805,1.0527195224201669,1.0728077489421834,1.068752577235471,1.0585317204886509,1.04103554397877,1.0589640751320302,1.0268257137301886,1.0567994368697016,1.073503886698859,1.0279005421426786,1.0555543570052202
20250117,1.0896957704639088,1.1246818541756551,1.1594175286782475,1.1422729130856537,1.1395200069672122,1.0854138085300649,1.1093395670816857,1.0664655806194743,1.1408813947195602,1.1697249394275195,1.0766881339063934,1.1225372329620809
20250225,1.109904585931873,1.1500818145701919,1.167303203856781,1.1499608385464182,1.1401564267429676,1.1106033453433626,1.1310175731732417,1.0898840199354973,1.1540326364164404,1.2002848662234624,1.0848498215521516,1.1402262184885725
20250326,1.0543805088343163,1.1043843975862067,1.093013697671153,1.0923435727421655,1.096779116379597,1.0566064211044415,1.093042686025959,1.0488136938020798,1.093738982876494,1.1423058198668217,1.0867174840246612,1.087554175503715
20250512,1.0725796534096537,1.106041073589176,1.1295164275389011,1.1204568182941181,1.1110103009975896,1.0857437316000322,1.108378706604047,1.0621672741341686,1.1094143488202322,1.17719456482291,1.1011511313498956,1.1082271070520326
20250729,1.1375005038215882,1.1819727217852332,1.2393583382763798,1.2100098224301623,1.1994502944490288,1.1604521927809681,1.1738599451763878,1.1339838052847135,1.2151903715542887,1.2911249781527927,1.1410717446378587,1.1939626393522025
20250922,1.1857299794036238,1.2164125472934342,1.2671140866292345,1.2382259934885154,1.232293695733266,1.194689697388096,1.2074333042548295,1.1795068996406002,1.220216577479208,1.3262531207952293,1.1237364357442738,1.2267004788776152
20251225,1.2678212007653364,1.3191981499081453,1.382196158883152,1.335296199208403,1.3389781763559536,1.2907631088122316,1.2917619543370524,1.272016325631247,1.308367324143285,1.4263840247545814,1.1307782698046085,1.323109644092545
20260202,1.3208005186190628,1.3724938656193504,1.4486296773219967,1.3967759449129864,1.382921899869323,1.3556234633694595,1.3303456899006867,1.3101494695476479,1.3487901612470767,1.4625051921091574,1.1121610270749167,1.372779655722684
