Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,0.2391309459249681,-0.630641486860722,-0.9715345436636897,-0.7766024934113307
Decile_2,0.38487026842600164,-0.4855729338786463,-0.8022033685776369,-0.6299666250597852
Decile_3,0.3947515982468608,-0.4764141438909397,-1.1158541145873437,-0.5565194286649163
Decile_4,0.4987517790860984,-0.3838484814752413,-0.4226505382044315,-0.5264439536600776
Decile_5,0.4989812103380522,-0.3836511859378158,-0.4555952590466459,-0.5365607365166616
Decile_6,0.7075977421651775,-0.21398389718561617,-0.30331248332159255,-0.5040218414430079
Decile_7,0.5202968289860151,-0.36543926368571855,-0.46907579059934545,-0.47691631695248576
Decile_8,0.5353933094989322,-0.35267796761922254,-0.6901704208353653,-0.42366168555191513
Decile_9,0.6531012328084966,-0.2566353624836767,-0.0615892841796211,-0.4355074180240951
Decile_10,0.6341750621391294,-0.27169825747649246,-0.22870901386125375,-0.36978351614630056
Long_Short,1.9675824295370528,0.6018295376075231,1.0770739109684135,-0.3608864029228939
Benchmark,0.508190704815116,-0.3757542197593199,-0.5982752160169683,-0.5017269443299197
