Portfolio,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,final_nav_raw,cagr_raw,vol_raw,sharpe_raw,max_dd_raw
Strategy (Pure Multi-Factor),29.17%,6.59%,18.93%,0.43,-31.46%,1291703.7406899652,0.06587987971782772,0.1892541498078778,0.43274720440810477,-0.31461507795273613
Strategy (Options Wind-Control),17.86%,4.18%,17.73%,0.32,-30.23%,1178591.007697402,0.041808366465774016,0.17729049394466628,0.3205932567042108,-0.3023076801000014
Benchmark (Market Equal-Weight),46.98%,10.08%,21.68%,0.54,-29.97%,1469846.1149882553,0.10076313967424011,0.21680497499698403,0.5377169967515644,-0.2997265372169031
Benchmark (CSI 1000 Index),4.77%,1.17%,24.90%,0.17,-46.22%,1047658.1184076068,0.011672386179568228,0.24897106334865401,0.17138771454844912,-0.4622280556798475
