,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10,Long_Short,Benchmark
20240815,0.972779706528008,0.9522878133612646,0.9707243144857282,0.9902419383177042,0.9639344697593107,0.9619730770144892,0.9516470321604513,0.9501483285915118,0.9674752812889383,0.9606279625296844,0.9878482560016764,0.9641855862317452
20240912,1.1953430816673063,1.1458550904796503,1.1889747496435763,1.218335938830903,1.1661206425800874,1.173122712939388,1.1667265589360862,1.1369779257948778,1.1494627255925618,1.1488963117429796,0.9554404395994349,1.1689024357221067
20241021,1.3079477672779685,1.2253731129727794,1.2915028672183602,1.327272020582152,1.2270241998197708,1.2745704008870522,1.2852110914020078,1.1993460575575465,1.2227482327597596,1.2224266390193663,0.9265842479351761,1.2579927539447717
20241118,1.4378301809017884,1.3592215431927077,1.467146334570292,1.5073332522542824,1.3423947447733238,1.3816801097183637,1.4228951482686856,1.2646143641412249,1.3380444022628268,1.3648567859915945,0.9425324517773277,1.3876353541639186
20241216,1.2731988032659773,1.2436671185732266,1.3257147816544939,1.3366368882366761,1.223409029716567,1.2384346905580554,1.2531430615418715,1.1666434041901699,1.2319087417093142,1.248302594005638,0.9699631905112761,1.2540037132797028
20250114,1.319820150561099,1.3162972723610673,1.408719117382834,1.4275618935781547,1.3081072422887903,1.2886504141567612,1.3068946610821068,1.2166150092826065,1.3278961691509346,1.3507163916999483,1.014023723229641,1.3268833402742632
20250219,1.3841368638403064,1.3999940305678764,1.4949331828577241,1.513581205982344,1.3636053043047216,1.3436693636715769,1.3651798648095652,1.2558632805733185,1.4074681687176478,1.458136692587074,1.0452525796385141,1.397902955299038
20250319,1.2880123065643543,1.2936412925315284,1.335660524789242,1.3734027344377209,1.2502248210566655,1.2621081030064398,1.2897776265480385,1.18675247336432,1.279437748884294,1.3319677783703456,1.0273994544691798,1.2893982608532424
20250417,1.3670042348872227,1.3821640759265825,1.4779228161967954,1.5116466771342951,1.369442551163204,1.3385939203887098,1.3714613212532303,1.252099327494825,1.3975035942597898,1.4637490736163985,1.0660386624279876,1.3928734311024629
20250520,1.3502342774061191,1.3649584182199765,1.5033371611537398,1.510428313679855,1.3688549738120754,1.3457855438022823,1.3591062833148495,1.2528279969862957,1.3834630615229995,1.44626613563812,1.066383766620535,1.3881564524787908
20250618,1.4120483907400252,1.4423796386364436,1.5852458399264997,1.5970759314165544,1.4359203611789013,1.4057989051605189,1.4335886560813176,1.3060617449804284,1.4757587504246599,1.5304910696271778,1.079666468508564,1.461751313132784
20250716,1.4827419648379467,1.535656843264529,1.7040821435994604,1.6932633909167003,1.5399676876025143,1.5007264581168607,1.513497260260637,1.3791645246451454,1.597874326656333,1.6497957431785564,1.1097754906177923,1.5585740288416086
20250813,1.506951704911212,1.5723040378382027,1.7558534327260467,1.74113140563662,1.5580803053116459,1.5309315960690666,1.5310853321159703,1.4098559517245544,1.6510443543814486,1.7253946822732713,1.1425089056344904,1.5965637314340528
20250910,1.524234632452091,1.5917130293299346,1.7830389578062242,1.746548720986788,1.5715239534218224,1.561507240899677,1.5498440253065329,1.4486072421554996,1.6454151434012587,1.763147308394944,1.1544044503478772,1.617190418889938
20251016,1.6529060130221467,1.6891492768962415,1.9028113882084179,1.877618626554322,1.6486501203518797,1.6405675226272691,1.6349580762130442,1.5042611705612177,1.7299558194400289,1.8605774123798424,1.1207445028097383,1.712212153151797
20251113,1.5947007379984857,1.6229993704209214,1.82749315192468,1.7938560776105366,1.5798222734659275,1.5522561777080415,1.5524683016925134,1.436022120843631,1.669408983771576,1.7997155987551132,1.1235493389966957,1.640700888947097
20251211,1.7031053965439442,1.7677766187910888,2.0635040927502466,1.9897290885708865,1.7420729645168875,1.6844678672836184,1.6882198521172542,1.5587595145540474,1.808377139666202,1.96686737076888,1.1515242710863454,1.793676158806527
20260112,1.7253814124489906,1.8013554673786236,2.0812165610578934,2.0185961060213433,1.780176359981637,1.7141108893945343,1.7032709859628241,1.597479686484882,1.8533165848051585,2.0100470733598086,1.1617427758986503,1.8251016283826476
