,Decile_1,Decile_2,Decile_3,Decile_4,Decile_5,Decile_6,Decile_7,Decile_8,Decile_9,Decile_10,Long_Short,Benchmark
20200102,0.9337372645621368,0.9587582910865552,0.9405157775516887,0.9240807721629164,0.9277148785919318,0.9186552159956634,0.9238196306779537,0.9194686884892086,0.9470129863708884,1.0074431607404495,1.0737058961783128,0.940137618527943
20200207,0.9696122724306355,1.0725626686958294,1.0638757996799943,1.0501442049806486,1.0680022976713444,1.0508876610571347,1.0550326529532525,1.0660131863733564,1.0666354920635897,1.1151508829365637,1.1472451713097076,1.0580650252429775
20200306,0.8580767673606962,0.9684742835764758,0.9702644088264325,0.9607716358061871,0.9863379375815864,0.99607517827141,0.9841544774703983,0.9815047207421128,0.968980183645364,0.9870977483172171,1.1474754408442165,0.9663543303882678
20200403,0.8828737649697975,0.9778606933644013,0.9764348759712455,0.9669254720636807,0.9937840056272691,0.9907858122336213,0.9860972788274197,0.9753888900866722,0.9814108618583112,1.0049644312277541,1.1350848546735528,0.9741108516938819
20200507,0.8798350049484043,0.9891848775473608,0.9942130558304939,0.9885067092416101,1.034246783927023,1.0333503050683157,1.0268849126629371,1.009480278342098,1.025994967311345,1.024782781880486,1.1613760830691353,1.0007772091312617
20200604,0.9849485518731286,1.1047646976044438,1.10587978191069,1.0724299322280844,1.1266988532175832,1.097238174826715,1.0865875657909412,1.0780196326886933,1.090055805894908,1.1011377534792561,1.1091592587717156,1.0856250078613638
20200706,1.0791189233776703,1.213087315966908,1.1825573464674233,1.1593518193287982,1.2305518102055466,1.1738956063693493,1.1603440022211045,1.1468269296867128,1.1615892581017286,1.1090069664094322,1.011039710265743,1.162620170842259
20200803,1.0509674909900824,1.2059326520966807,1.1894686384659232,1.1826143834143703,1.2454205546364059,1.1851233965221823,1.150908809536402,1.1378362169684373,1.1496404107110823,1.0696155074906692,1.0015034280183677,1.1572368142409197
20200831,0.9643846333695063,1.1071324492330064,1.0882828633000552,1.0827693496796982,1.1584736964516913,1.094413897566138,1.070656294181685,1.053537514386791,1.0460538048255195,0.9696971723141244,0.9904556081667963,1.0637886792716968
20200928,0.9613010846797189,1.1025451952850087,1.0897244946999693,1.080520614089155,1.1679665155700516,1.0971208005810946,1.070069306405757,1.0645620249295424,1.0495006920106413,0.9876428263739536,1.011952335928445,1.0674342335132254
20201103,0.9916901288695781,1.1468399851345574,1.127159703333151,1.116388248908112,1.222434263969829,1.1404053804489092,1.105836443755493,1.1160032585415527,1.1007113401715083,1.0403194199210173,1.0339352411761884,1.1111245227842648
