Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,1.7834958485179864,0.10229619906549314,1.5282141298446004,-0.12272257028888255
Decile_2,1.8943830085340332,0.11354559606706505,1.7935434995615898,-0.10817306115695476
Decile_3,1.9952581686103334,0.12331316842105533,1.8820898489364863,-0.09959244163257411
Decile_4,1.9275122350187386,0.11680016910872815,1.7703628863998124,-0.11458190883295083
Decile_5,1.6306908257526462,0.08580024008792364,1.521394080679855,-0.1005203499321347
Decile_6,1.7333460777323804,0.09701648468543356,1.6143088059163193,-0.10670516583991302
Decile_7,1.6866483273536261,0.09198470602066688,1.4656881356338696,-0.1244444922798555
Decile_8,1.6042066140692173,0.0828114425536175,1.4983258094396865,-0.11327668086687741
Decile_9,1.7135556376597818,0.09489796000651252,1.6713772240862765,-0.11162055471730163
Decile_10,1.9004079797972038,0.11414098437652176,1.9455071924272427,-0.10085502529364389
Long_Short,1.039961707518969,0.0066178882458143296,0.30436896082575177,-0.11189213159197497
Benchmark,1.7863221762362,0.10259005973191226,1.7029778877464365,-0.10497873159646195
