Portfolio,Final_NAV,CAGR,Sharpe,Max_DD
Decile_1,1.7253814124489906,0.09616631522344177,1.7284057836997173,-0.11449987614848672
Decile_2,1.8013554673786236,0.10414664308853694,2.0625158932519088,-0.08501515091355345
Decile_3,2.0812165610578934,0.13131741058915836,2.1125791479622116,-0.10654165677426168
Decile_4,2.0185961060213433,0.12551427208876742,1.9585353978453064,-0.11324394506810118
Decile_5,1.780176359981637,0.10195056821660131,1.9256140032154188,-0.088636904695905
Decile_6,1.7141108893945343,0.09495767530260224,1.8321989542692578,-0.10367480732534168
Decile_7,1.7032709859628241,0.09378896317864771,1.7370460709302422,-0.11930048881912397
Decile_8,1.597479686484882,0.08204576380788486,1.9099803203449683,-0.07747101624738002
Decile_9,1.8533165848051585,0.10944492103941728,2.1170304621443488,-0.09096505532342018
Decile_10,2.0100470733598086,0.12471044351980876,2.3169919416512417,-0.08652749420417873
Long_Short,1.1617427758986503,0.02555840331206216,1.4254317908450738,-0.06201763043492812
Benchmark,1.8251016283826476,0.10658350752757606,1.9943626334987445,-0.09630169805289504
