,Total Return (%),Max Drawdown (%),Sharpe Ratio
Baseline,1249.0375958981542,-85.34912024830783,1.3417327379662096
Option Tail Risk Filter,843.2704058869022,-85.876924767696,1.2050739971038544
Spike + Complacency Filter,751.994981114028,-86.2502389915188,1.1933945450090273
