,Total Return (%),Max Drawdown (%),Sharpe Ratio
Baseline,1249.0375958981542,-85.34912024830783,1.3417327379662096
Option PCR Complacency Filter,646.1471566164637,-87.88084293540697,1.1160518051673873
Combined Options Filter,503.5530273565946,-88.12689345779144,1.0323069280453179
