Period,Base_Return (%),Base_CAGR (%),Base_Sharpe,Base_MaxDD (%),Opt_Return (%),Opt_CAGR (%),Opt_Sharpe,Opt_MaxDD (%)
Train 2022-2024,-8.10196104623474,-2.8901408231036707,-0.5220484526773641,-17.428401734215356,-8.964788631194608,-3.2075949690439365,-0.8310933867429634,-12.878821921527495
Test  2025-2026,-5.840394300841711,-5.181990981646156,-1.190587405415652,-9.237455272459083,-1.648254533946092,-1.458803341338133,-0.36654873824674455,-3.9777879907724287
Full  2022-2026,-13.46916887587577,-3.541761220872919,-0.6827874425904792,-17.428401734215356,-10.465280630068374,-2.7177775169671348,-0.7009782452018425,-12.95467987291844
