underlying_code,max_dte,threshold,trades,ls_cagr,ls_sharpe,ls_max_dd,lo_cagr,lo_sharpe,lo_max_dd,so_cagr,so_sharpe,so_max_dd,bm_cagr,bm_sharpe,bm_max_dd
510050.SH,3,0.0,131.0,0.017915491058687394,-0.007838554497116236,-0.0746508378817811,0.005509871745810191,-0.27082568326666123,-0.07978165579442331,0.012340747794737927,-0.21401704785738582,-0.06595741021991094,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,3,0.005,117.0,0.020902503900495306,0.04044275429949069,-0.06756286460237942,0.01405153412322746,-0.10263644338523686,-0.06574962027099714,0.006757017074061622,-0.44226598125916794,-0.04098131933625808,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,3,0.01,88.0,0.009713177656532679,-0.20887216078819526,-0.04135128261090615,0.0024299318333322883,-0.4646498736122595,-0.04597690576974379,0.007266035362256673,-0.48036059761819505,-0.04064763419032294,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,3,0.015,72.0,0.012449712539755131,-0.1726398776024434,-0.03788605952380952,-0.0013597716170948848,-0.6208515871066328,-0.04817201498435886,0.01382839323116114,-0.286799343803615,-0.031279194122137706,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,5,0.0,159.0,0.012454078369819488,-0.056744779676506485,-0.12407246114884649,-0.008199904887477683,-0.4127554115469193,-0.12047766705439024,0.02082156872483143,0.0369068158550776,-0.0957210644654282,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,5,0.005,155.0,0.013970764803280966,-0.048837349903995984,-0.10341218243594069,0.01688987892703997,-0.024082574226405914,-0.0942777520040935,-0.0028732462064828823,-0.5511101064590362,-0.07260362457460708,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,5,0.01,114.0,0.0017559855904170085,-0.2738618973589768,-0.08780670624348869,-0.002423990750330174,-0.43817512124076763,-0.10900622747274977,0.004189426777900129,-0.429162683663782,-0.06855075193340295,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,5,0.015,96.0,0.01496239242044739,-0.08262743444878252,-0.0670682537227148,-0.009459921258947568,-0.7042604506781011,-0.10370233527058895,0.024655660162929083,0.18422200317784865,-0.03127919412213791,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,10,0.0,265.0,-0.002711915251862984,-0.13850742737251168,-0.1487398226492572,-0.02044035877884176,-0.4077721758136292,-0.17210961990603457,0.018095731634595547,0.008401152866368014,-0.11037998229763131,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,10,0.005,257.0,-0.003617708826519128,-0.1680507339632577,-0.15997366777020255,0.004027664007520748,-0.14429121412678747,-0.1323425068298847,-0.00762051633009142,-0.39971679089633927,-0.11654436125007143,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
