trade_date,nav_cs10_full
2018-01-03,1000000.0
2018-01-04,1001494.989568906
2018-01-05,1005638.8980814621
2018-01-08,1014267.6387688688
2018-01-09,1018440.0642879425
2018-01-10,1015063.1511503685
2018-01-11,1014953.2290229847
2018-01-12,1017649.8944105759
2018-01-15,1014688.7293508173
2018-01-16,1014547.472914837
2018-01-17,1013070.2780965808
2018-01-18,1015290.8903119875
2018-01-19,1015658.9197958987
2018-01-22,1021202.4267317969
2018-01-23,1026606.3884556856
2018-01-24,1031071.987263426
2018-01-25,1029748.2684118962
2018-01-26,1029464.9459104931
2018-01-29,1022020.9223526311
2018-01-30,1016529.8144819759
2018-01-31,1012964.2398904068
2018-02-01,1001817.2919239082
2018-02-02,1003512.6353181603
2018-02-05,1002449.7071987073
2018-02-06,982558.6817452598
2018-02-07,979789.9330466783
2018-02-08,980237.3042051995
2018-02-09,965468.3980117423
2018-02-12,974159.3115112293
2018-02-13,977016.9914526046
2018-02-14,978733.159847975
2018-02-22,985497.3629841303
2018-02-23,987968.4261751478
2018-02-26,996723.3972103671
2018-02-27,996610.5755003113
2018-02-28,993319.9216087543
2018-03-01,997943.2751069273
2018-03-02,995828.7806593166
2018-03-05,995277.981553824
2018-03-06,1000416.5640934837
2018-03-07,996183.4784285774
2018-03-08,1000728.280726142
2018-03-09,1004235.9592774545
2018-03-12,1008592.1407955645
2018-03-13,1006491.9295416619
2018-03-14,1003574.4218302702
2018-03-15,999589.7252863186
2018-03-16,997825.2848797515
2018-03-19,1001917.4802061757
2018-03-20,1004651.4023192539
2018-03-21,1001567.688281545
2018-03-22,1002467.962595184
2018-03-23,985403.4903837437
2018-03-26,988265.2107835176
2018-03-27,993349.8095576677
2018-03-28,989748.9771607438
2018-03-29,989894.8865587539
2018-03-30,995619.447728016
2018-04-02,995842.615200869
2018-04-03,992729.676472081
2018-04-04,992277.1546916654
2018-04-09,993718.1462264019
2018-04-10,994197.7880933572
2018-04-11,1000220.9743054779
2018-04-12,1004435.5209334026
2018-04-13,1001957.7179720602
2018-04-16,1000193.6279930386
2018-04-17,995038.3395946431
2018-04-18,1002516.582064223
2018-04-19,1002655.4843764082
2018-04-20,995143.354946047
2018-04-23,992422.895139941
2018-04-24,999280.8363961409
2018-04-25,998679.8027364896
2018-04-26,992998.140450739
2018-04-27,995154.8102746011
2018-05-02,994369.9567199701
2018-05-03,997081.7416979553
2018-05-04,998880.6470504275
2018-05-07,1003518.8425350365
2018-05-08,1003757.4894412798
2018-05-09,1007385.5762547465
2018-05-10,1010849.8373215591
2018-05-11,1004354.9917363022
2018-05-14,1002234.1120030096
2018-05-15,1005033.374761721
2018-05-16,1001890.3343105896
2018-05-17,1001188.309884522
2018-05-18,1002988.4478722102
2018-05-21,1006931.6323512414
2018-05-22,1009768.252093866
2018-05-23,1003726.526376433
2018-05-24,1004571.9878922972
2018-05-25,1002770.7177070832
2018-05-28,998039.9269675307
2018-05-29,993802.0040576004
2018-05-30,981333.0267634237
2018-05-31,984898.4083059942
2018-06-01,980712.1280231539
2018-06-04,982038.0278052335
2018-06-05,988402.6778120525
2018-06-06,992930.3160523276
2018-06-07,991469.9077327629
2018-06-08,986147.0056876672
2018-06-11,986329.0570567771
2018-06-12,985773.1973456604
2018-06-13,980485.0963044551
2018-06-14,980415.0622558701
2018-06-15,974281.123994119
2018-06-19,955321.2151475311
2018-06-20,962072.9179362388
2018-06-21,956867.8886905772
2018-06-22,963547.1946359789
2018-06-25,967235.8724927783
2018-06-26,963924.5480536394
2018-06-27,957269.6932990332
2018-06-28,952263.4826885347
2018-06-29,965297.8151290794
2018-07-02,960087.5953544695
2018-07-03,966917.2147133223
2018-07-04,961336.9836827399
2018-07-05,957339.6890282572
2018-07-06,960377.5542894773
2018-07-09,968432.1341167714
2018-07-10,969975.9435037448
2018-07-11,962076.2354111997
2018-07-12,967962.539158701
2018-07-13,968700.8234925893
2018-07-16,971945.5547717504
2018-07-17,972440.6940980518
2018-07-18,970611.9798252219
2018-07-19,970432.9915622053
2018-07-20,974677.0497705552
2018-07-23,977539.2120428252
2018-07-24,980127.5361781475
2018-07-25,979372.4318787609
2018-07-26,977382.972747279
2018-07-27,975773.554596885
2018-07-30,976415.4581683972
2018-07-31,976300.6363413016
2018-08-01,972179.1040195355
2018-08-02,965574.4033400427
2018-08-03,965245.5091655868
2018-08-06,963738.4707327734
2018-08-07,971229.4880855702
2018-08-08,962993.340001987
2018-08-09,967338.0334035682
2018-08-10,970439.885884994
2018-08-13,972393.5126843377
2018-08-14,973078.4874237335
2018-08-15,966284.3801858397
2018-08-16,963482.0902629053
2018-08-17,956586.9081431172
2018-08-20,957998.2531616708
2018-08-21,960921.8473494945
2018-08-22,956273.1227486301
2018-08-23,962809.7223030046
2018-08-24,966764.6780713169
2018-08-27,974545.6611222476
2018-08-28,974783.9628018372
2018-08-29,972218.6409149638
2018-08-30,968417.1879080853
2018-08-31,967797.287891761
2018-09-03,965260.1307280833
2018-09-04,967935.5552522142
2018-09-05,963377.6935709448
2018-09-06,962207.7105496494
2018-09-07,961068.2551816031
2018-09-10,955504.9262762171
2018-09-11,955851.2847096244
2018-09-12,957002.6864076366
2018-09-13,960040.5469465195
2018-09-14,955351.6005953347
2018-09-17,952177.4852267414
2018-09-18,955382.6984494264
2018-09-19,959291.240870964
2018-09-20,957373.4499413962
2018-09-21,965626.552650546
2018-09-25,965547.113419567
2018-09-26,969760.0164627123
2018-09-27,963708.922182245
2018-09-28,969001.7831546401
2018-10-08,960957.7483642327
2018-10-09,961851.2777255888
2018-10-10,961882.5961785512
2018-10-11,942526.4713289
2018-10-12,946904.8427724679
2018-10-15,943136.2673503397
2018-10-16,941763.7815196873
2018-10-17,943560.6122075085
2018-10-18,932155.8195841538
2018-10-19,936865.0543852681
2018-10-22,947465.7913920925
2018-10-23,943023.3147797292
2018-10-24,946598.8785968131
2018-10-25,943933.6311224314
2018-10-26,942735.6754039646
2018-10-29,938442.2967244828
2018-10-30,939689.913055392
2018-10-31,941652.4978847774
2018-11-01,948168.7369214306
2018-11-02,956670.1563955784
2018-11-05,955982.7871776678
2018-11-06,955177.6035712169
2018-11-07,955642.0578282018
2018-11-08,954452.9547615655
2018-11-09,952163.0898667971
2018-11-12,957725.3680439264
2018-11-13,958288.5374908755
2018-11-14,959509.4827924044
2018-11-15,968364.8132478087
2018-11-16,973990.5635293348
2018-11-19,974390.5341906542
2018-11-20,962989.5695969223
2018-11-21,962940.2687628798
2018-11-22,961902.1792041367
2018-11-23,949151.7223695739
2018-11-26,948553.0281996148
2018-11-27,950947.2105006095
2018-11-28,954673.813869646
2018-11-29,951020.4966024982
2018-11-30,950777.6131715021
2018-12-03,957215.0487635463
2018-12-04,959292.8280846683
2018-12-05,954288.8201093399
2018-12-06,948230.6936137588
2018-12-07,952488.8274852795
2018-12-10,950564.1074508441
2018-12-11,950756.627164973
2018-12-12,949722.663168395
2018-12-13,953340.5148170891
2018-12-14,946063.9529677256
2018-12-17,949861.0204825375
2018-12-18,947907.3408422418
2018-12-19,945977.0123671693
2018-12-20,941609.7033083446
2018-12-21,940723.1970650879
2018-12-24,942852.6207507116
2018-12-25,940100.7971009577
2018-12-26,940613.6612873847
2018-12-27,938595.7447922993
2018-12-28,943291.3069526656
2019-01-02,938666.8318854222
2019-01-03,939711.9261242901
2019-01-04,945829.7589768319
2019-01-07,951674.6610290424
2019-01-08,950345.0661732368
2019-01-09,949946.3735680386
2019-01-10,950066.0354524583
2019-01-11,953587.377408528
2019-01-14,947351.8253151104
2019-01-15,953728.5195822207
2019-01-16,952559.0433843797
2019-01-17,949574.6958588691
2019-01-18,952060.9514018595
2019-01-21,951932.8238878188
2019-01-22,951553.7535399849
2019-01-23,949237.3891082663
2019-01-24,951023.325496379
2019-01-25,948086.6171468234
2019-01-28,946632.642015398
2019-01-29,944867.682300661
2019-01-30,941346.5305188465
2019-01-31,940255.1131495719
2019-02-01,949087.1880704392
2019-02-11,956995.522734183
2019-02-12,963050.9861954581
2019-02-13,967564.2947053707
2019-02-14,967656.2525969836
2019-02-15,966690.6142969972
2019-02-18,976987.7955975961
2019-02-19,980539.7702233936
2019-02-20,983303.6166560396
2019-02-21,979880.1304401403
2019-02-22,985451.1564388159
2019-02-25,1001428.631916937
2019-02-26,1000600.3384274511
2019-02-27,1001355.9487208463
2019-02-28,998187.5462470336
2019-03-01,1002898.6508155043
2019-03-04,1004485.6786672563
2019-03-05,1008078.5440278983
2019-03-06,1013708.3245439217
2019-03-07,1014244.8301788658
2019-03-08,1001122.8675827766
2019-03-11,1012792.2091121959
2019-03-12,1016289.006921458
2019-03-13,1010031.529164211
2019-03-14,1000663.6913124666
2019-03-15,1004873.6369686062
2019-03-18,1012974.6018959971
2019-03-19,1015133.8230888498
2019-03-20,1013636.6792605352
2019-03-21,1018013.8826259042
2019-03-22,1016680.712523357
2019-03-25,1013977.349037152
2019-03-26,1007116.66463061
2019-03-27,1008887.1811473366
2019-03-28,1006642.5995755617
2019-03-29,1013274.8665433964
2019-04-01,1024772.3691296134
2019-04-02,1023971.3431644068
2019-04-03,1027498.3787282979
2019-04-04,1028041.486971762
2019-04-08,1026730.320059925
2019-04-09,1024993.8955193816
2019-04-10,1021138.7161449228
2019-04-11,1019586.0008441313
2019-04-12,1015278.801925115
2019-04-15,1012854.1302458127
2019-04-16,1017159.981179278
2019-04-17,1017762.9199788268
2019-04-18,1014204.1643337803
2019-04-19,1016574.9684426702
2019-04-22,1012797.0992143372
2019-04-23,1010053.9939188178
2019-04-24,1011431.3104708141
2019-04-25,1003056.872031731
2019-04-26,999308.6386950826
2019-04-29,996031.7867983659
2019-04-30,1003693.3367815728
2019-05-06,986132.3819631379
2019-05-07,986616.1402980709
2019-05-08,980308.5134413628
2019-05-09,981327.1662921753
2019-05-10,990778.2998902033
2019-05-13,990122.901502991
2019-05-14,987313.6558476855
2019-05-15,992781.8165309846
2019-05-16,995639.7655952298
2019-05-17,991870.6001693041
2019-05-20,987704.9747625629
2019-05-21,988757.9566378406
2019-05-22,988221.7530871932
2019-05-23,982482.7152773936
2019-05-24,982064.274755846
2019-05-27,986331.3977439157
2019-05-28,988283.5105546507
2019-05-29,989493.4544403148
2019-05-30,990155.5256884646
2019-05-31,990627.9765998753
2019-06-03,988503.6559387174
2019-06-04,985803.9824013298
2019-06-05,986494.9095357698
2019-06-06,983332.0103073999
2019-06-10,986967.6072029679
2019-06-11,992776.2822072458
2019-06-12,991231.1732556517
2019-06-13,991113.3069331611
2019-06-14,989499.8348386959
2019-06-17,986967.5212358406
2019-06-18,987296.1496751254
2019-06-19,992981.4386320258
2019-06-20,1002381.8772441855
2019-06-21,1006323.226907798
2019-06-24,1005873.2841876956
2019-06-25,1006504.9664765475
2019-06-26,1003709.7207997417
2019-06-27,1005844.1819739306
2019-06-28,1002610.4984031337
2019-07-01,1009978.3107423712
2019-07-02,1010006.562441307
2019-07-03,1010781.648644888
2019-07-04,1006954.2305998073
2019-07-05,1008839.1706754962
2019-07-08,999243.9735488448
2019-07-09,999157.2818827032
2019-07-10,997111.4804188071
2019-07-11,998285.8032963488
2019-07-12,999429.8902435792
2019-07-15,1002134.499362221
2019-07-16,1002739.7255554593
2019-07-17,1003508.9219048157
2019-07-18,998729.0880581894
2019-07-19,1000971.5283993727
2019-07-22,996342.4679137863
2019-07-23,997363.3441962128
2019-07-24,999676.2546181852
2019-07-25,1002937.9524346531
2019-07-26,1002907.6983382693
2019-07-29,1000688.1450210477
2019-07-30,1001345.313591794
2019-08-01,997540.5069844628
2019-08-02,996351.5322245201
2019-08-05,996296.9436481097
2019-08-06,990525.8528224775
2019-08-07,992295.9615941709
2019-08-08,998929.9185106833
2019-08-09,997951.8689466007
2019-08-12,1000335.9148903094
2019-08-13,997277.5038640122
2019-08-14,998147.3749320277
2019-08-15,997584.4486907151
2019-08-16,999095.1133052688
2019-08-19,1006305.6616692181
2019-08-20,1005472.5393203108
