trade_date,nav,pnl
2018-01-03,99978.04507090001,0.0
2018-01-04,100414.04507090001,0.00436095744511511
2018-01-05,102209.04507090001,0.0178759853637267
2018-01-08,108187.04507090001,0.05848797428694508
2018-01-09,111973.04507090001,0.03499494784721091
2018-01-10,107995.82811000005,-0.03551941414455273
2018-01-11,108468.82811000005,0.004379798815174807
2018-01-12,108311.82811000005,-0.0014474204500557475
2018-01-15,108035.82811000005,-0.0025481981498798323
2018-01-16,105164.82811000005,-0.026574517456160907
2018-01-17,104647.71538220007,-0.004917164199223389
2018-01-18,105787.71538220007,0.010893692192289528
2018-01-19,105088.71538220007,-0.006607572509478854
2018-01-22,106827.71538220007,0.01654792328248922
2018-01-23,107906.71538220007,0.010100375133359707
2018-01-24,108408.3497882001,0.004648778384396701
2018-01-25,107989.3497882001,-0.00386501594036448
2018-01-26,107504.3497882001,-0.004491183630156437
2018-01-29,104503.3497882001,-0.027915149534994854
2018-01-30,103780.3497882001,-0.006918438513840219
2018-01-31,102636.66650460013,-0.011020229609305154
2018-02-01,96428.66650460013,-0.06048520681175629
2018-02-02,96142.66650460013,-0.0029659230016040317
2018-02-05,96228.66650460013,0.0008945040025063467
2018-02-06,90479.66650460013,-0.0597431119938171
2018-02-07,89952.69034700014,-0.005824249557475958
2018-02-08,92068.69034700014,0.02352347652790976
2018-02-09,89628.69034700014,-0.026501951866631512
2018-02-12,92434.69034700014,0.03130693965443965
2018-02-13,92050.69034700014,-0.004154284485169635
2018-02-14,91403.93422500015,-0.007026086600349646
2018-02-22,93623.93422500015,0.024287794817838382
2018-02-23,94889.93422500015,0.013522183301521107
2018-02-26,98153.93422500015,0.03439774752357305
2018-02-27,99511.93422500015,0.013835410783301194
2018-02-28,97889.38006960016,-0.01630512127049344
2018-03-01,99694.38006960016,0.018439181029817897
2018-03-02,99497.38006960016,-0.0019760391695345936
2018-03-05,98318.38006960016,-0.01184955824138556
2018-03-06,99544.38006960016,0.012469692840058055
2018-03-07,97731.71420000016,-0.01820962537847537
2018-03-08,100105.71420000016,0.024290989055423706
2018-03-09,101801.71420000016,0.016942089805298988
2018-03-12,103659.71420000016,0.018251166147848608
2018-03-13,103131.71420000016,-0.005093589193013615
2018-03-14,102570.48927990018,-0.005441826740236411
2018-03-15,98285.48927990018,-0.04177614857921608
2018-03-16,97882.48927990018,-0.004100300084505126
2018-03-19,101402.48927990018,0.03596148837137125
2018-03-20,104386.48927990018,0.02942728547583573
2018-03-21,102580.96622460018,-0.01729652053398123
2018-03-22,104652.96622460018,0.020198678919278068
2018-03-23,94513.96622460018,-0.09688210822653853
