Portfolio,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,final_nav_raw,cagr_raw,vol_raw,sharpe_raw,max_dd_raw
Smart-Beta Base (No Filter),88.23%,54.75%,23.05%,2.02,-17.21%,1882271.6579755528,0.5475463745825091,0.2305397530046598,2.0163973190588327,-0.1721064641058773
Smart-Beta (Trend + VIX Filter),39.94%,26.11%,15.94%,1.54,-15.57%,1399426.0391835277,0.2611462281624657,0.159396740156301,1.540848233908765,-0.15568980641948135
Benchmark (Market Equal-Weight),87.09%,54.11%,22.12%,2.11,-15.01%,1870941.5268727173,0.541108989038037,0.22119016303776584,2.114208724219482,-0.1501256536300569
Benchmark (CSI 1000 Index),84.52%,52.65%,27.51%,1.68,-16.87%,1845228.532062219,0.5264547933302692,0.27508467932355385,1.680389566972202,-0.16870772600903247
