代码,名称,行业,收盘价,涨跌幅,V5评分,资金流
600381.SH,*ST春天,医疗保健,3.21,-2.7273,0.7206380605697632,1.0
603778.SH,国晟科技,电气设备,15.45,2.115,0.6761488080024719,1.0
000592.SZ,平潭发展,林业,10.84,-2.3423,0.6081496596336365,-1.0
605255.SH,天普股份,汽车配件,130.0,-4.6921,0.6038152098655701,-1.0
600343.SH,航天动力,机械基件,33.89,-6.1479,0.5931100368499757,-1.0
000016.SZ,深康佳Ａ,家用电器,3.91,-2.7363,0.5266152262687683,-1.0
603813.SH,*ST原尚,公路,34.19,-5.0014,0.5073071241378785,-1.0
603516.SH,淳中科技,IT设备,156.54,-0.723,0.5058839440345765,-1.0
