代码,名称,行业,收盘价,涨跌幅,V5评分,资金流
603718.SH,海利生物,农业综合,4.9,-7.0209,0.7764281868934632,1.0
605255.SH,天普股份,汽车配件,126.1,-3.0,0.6314232468605042,-1.0
002175.SZ,东方智造,电器仪表,3.15,-6.5282,0.5637221455574036,-1.0
000592.SZ,平潭发展,林业,10.46,-3.5055,0.5633896708488465,-1.0
000016.SZ,深康佳Ａ,家用电器,3.75,-4.0921,0.55823894739151,-1.0
603813.SH,*ST原尚,公路,32.48,-5.0015,0.5473942875862122,-1.0
600343.SH,航天动力,机械基件,32.25,-4.8392,0.5346311450004578,-1.0
600593.SH,大连圣亚,旅游景点,36.81,-1.8662,0.5125765323638917,-1.0
002547.SZ,春兴精工,汽车配件,3.72,-3.6269,0.461022162437439,-1.0
